# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,Michael Jordan,21.0,CHI,22.0,22.0,1.0,,,82.0,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14.0,0.213,1985,all-rookie
1st,Hakeem Olajuwon,22.0,HOU,22.0,22.0,1.0,,,82.0,35.5,20.6,11.9,1.4,1.2,2.7,0.538,,0.613,10.2,0.168,1985,all-rookie
1st,Sam Bowie,23.0,POR,18.0,22.0,0.818,,,76.0,29.2,10.0,8.6,2.8,0.7,2.7,0.537,,0.711,5.7,0.123,1985,all-rookie
1st,Charles Barkley,21.0,PHI,17.0,22.0,0.773,,,82.0,28.6,14.0,8.6,1.9,1.2,1.0,0.545,0.167,0.733,7.5,0.154,1985,all-rookie
1st,Sam Perkins,23.0,DAL,15.0,22.0,0.682,,,82.0,28.3,11.0,7.4,1.6,0.8,0.8,0.471,0.25,0.82,5.8,0.12,1985,all-rookie
,,,,,,,,,,,,,,,,,,,,,1985,all-rookie
ORV,Otis Thorpe,22.0,KCK,8.0,22.0,0.364,,,82.0,23.4,12.8,6.8,1.4,0.4,0.5,0.6,0.0,0.62,4.0,0.1,1985,all-rookie
ORV,Alvin Robertson,22.0,SAS,7.0,22.0,0.318,,,79.0,21.3,9.2,3.4,3.5,1.6,0.3,0.498,0.364,0.734,3.1,0.087,1985,all-rookie
ORV,Vern Fleming,22.0,IND,3.0,22.0,0.136,,,80.0,31.1,14.1,4.0,3.1,1.2,0.1,0.47,0.0,0.767,3.3,0.063,1985,all-rookie
ORV,Tim McCormick,22.0,SEA,1.0,22.0,0.045,,,78.0,20.3,9.3,5.1,1.0,0.2,0.4,0.557,0.0,0.715,3.8,0.114,1985,all-rookie
ORV,John Stockton,22.0,UTA,1.0,22.0,0.045,,,82.0,18.2,5.6,1.3,5.1,1.3,0.1,0.471,0.182,0.736,3.1,0.1,1985,all-rookie
ORV,Kevin Willis,22.0,ATL,1.0,22.0,0.045,,,82.0,21.8,9.3,6.4,0.4,0.4,0.6,0.467,0.222,0.657,2.7,0.072,1985,all-rookie
