# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,Mitch Richmond,23.0,GSW,48.0,48.0,1.0,,,79.0,34.4,22.0,5.9,4.2,1.0,0.2,0.468,0.367,0.81,5.6,0.098,1989,all-rookie
1st,Willie Anderson,22.0,SAS,45.0,48.0,0.938,,,81.0,33.8,18.6,5.1,4.6,1.9,0.8,0.498,0.19,0.775,4.9,0.085,1989,all-rookie
1st,Hersey Hawkins,22.0,PHI,40.0,48.0,0.833,,,79.0,32.6,15.1,2.8,3.0,1.5,0.5,0.455,0.428,0.831,4.0,0.075,1989,all-rookie
1st,Rik Smits,22.0,IND,38.0,48.0,0.792,,,82.0,24.9,11.7,6.1,0.9,0.5,1.8,0.517,0.0,0.722,4.3,0.101,1989,all-rookie
1st,Charles Smith,23.0,LAC,31.0,48.0,0.646,,,71.0,30.4,16.3,6.5,1.5,1.0,1.3,0.495,0.0,0.725,4.0,0.089,1989,all-rookie
,,,,,,,,,,,,,,,,,,,,,1989,all-rookie
2nd,Brian Shaw,22.0,BOS,26.0,48.0,0.542,,,82.0,28.1,8.6,4.6,5.8,1.0,0.3,0.433,0.0,0.826,2.2,0.046,1989,all-rookie
2nd,Rex Chapman,21.0,CHH,25.0,48.0,0.521,,,75.0,29.6,16.9,2.5,2.3,0.9,0.3,0.414,0.314,0.795,-0.2,-0.005,1989,all-rookie
2nd,Chris Morris,23.0,NJN,22.0,48.0,0.458,,,76.0,27.6,14.1,5.2,1.6,1.3,0.8,0.457,0.366,0.717,2.8,0.064,1989,all-rookie
2nd,Rod Strickland,22.0,NYK,18.0,48.0,0.375,,,81.0,16.8,8.9,2.0,3.9,1.2,0.0,0.467,0.322,0.745,3.7,0.131,1989,all-rookie
2nd,Kevin Edwards,23.0,MIA,15.0,48.0,0.313,,,79.0,29.7,13.8,3.3,4.4,1.8,0.3,0.425,0.27,0.746,-0.2,-0.003,1989,all-rookie
,,,,,,,,,,,,,,,,,,,,,1989,all-rookie
ORV,Ledell Eackles,22.0,WSB,15.0,48.0,0.313,,,80.0,18.2,11.5,2.3,1.5,0.5,0.1,0.434,0.225,0.786,2.1,0.07,1989,all-rookie
ORV,Grant Long,22.0,MIA,12.0,48.0,0.25,,,82.0,29.7,11.9,6.7,1.8,1.5,0.6,0.486,0.0,0.749,4.6,0.091,1989,all-rookie
ORV,Ricky Berry,24.0,SAC,9.0,48.0,0.188,,,64.0,22.0,11.0,3.1,1.3,0.6,0.3,0.45,0.406,0.789,2.4,0.083,1989,all-rookie
ORV,Derrick Chievous,21.0,HOU,9.0,48.0,0.188,,,81.0,19.0,9.3,3.2,1.0,0.6,0.1,0.437,0.208,0.783,1.6,0.05,1989,all-rookie
ORV,Rony Seikaly,23.0,MIA,9.0,48.0,0.188,,,78.0,25.2,10.9,7.0,0.7,0.6,1.2,0.448,0.25,0.511,-0.5,-0.012,1989,all-rookie
ORV,Gary Grant,23.0,LAC,5.0,48.0,0.104,,,71.0,27.1,11.9,3.4,7.1,2.0,0.1,0.435,0.227,0.735,-0.4,-0.009,1989,all-rookie
ORV,Danny Manning,22.0,LAC,5.0,48.0,0.104,,,26.0,36.5,16.7,6.6,3.1,1.7,1.0,0.494,0.2,0.767,0.7,0.034,1989,all-rookie
ORV,Dan Majerle,23.0,PHO,3.0,48.0,0.063,,,54.0,25.1,8.6,3.9,2.4,1.2,0.3,0.419,0.329,0.614,2.5,0.09,1989,all-rookie
ORV,Vinny Del Negro,22.0,SAC,2.0,48.0,0.042,,,80.0,19.5,7.1,2.1,2.6,0.8,0.2,0.475,0.3,0.85,2.5,0.077,1989,all-rookie
ORV,Randolph Keys,22.0,CLE,1.0,48.0,0.021,,,42.0,7.9,4.0,1.3,0.5,0.3,0.1,0.43,0.1,0.69,0.3,0.037,1989,all-rookie
