Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Richie Guerin,STL,25,25,31,0.806,82,56,26,0.683,1968,coy
2,Butch van Breda Kolff,LAL,3,3,31,0.097,82,52,30,0.634,1968,coy
3,Alex Hannum,PHI,2,2,31,0.065,82,62,20,0.756,1968,coy
4,Gene Shue,BAL,1,1,31,0.032,82,36,46,0.439,1968,coy
