Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Mike Budenholzer,MIL,77,432,500,0.864,82,60,22,0.732,2019,coy
2,Doc Rivers,LAC,13,200,500,0.4,82,48,34,0.585,2019,coy
3,Michael Malone,DEN,6,154,500,0.308,82,54,28,0.659,2019,coy
4,Nate McMillan,IND,1,62,500,0.124,82,48,34,0.585,2019,coy
5,Kenny Atkinson,BRK,2,36,500,0.072,82,42,40,0.512,2019,coy
6T,Dave Joerger,SAC,1,5,500,0.01,82,39,43,0.476,2019,coy
6T,Steve Clifford,ORL,0,5,500,0.01,82,42,40,0.512,2019,coy
8T,Nick Nurse,TOR,0,2,500,0.004,82,58,24,0.707,2019,coy
8T,Gregg Popovich,SAS,0,2,500,0.004,82,48,34,0.585,2019,coy
8T,Quin Snyder,UTA,0,2,500,0.004,82,50,32,0.61,2019,coy
