Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Mike Brown,CLE,55,355,610,0.582,82,66,16,0.805,2009,coy
2,Rick Adelman,HOU,13,151,610,0.248,82,53,29,0.646,2009,coy
3,Stan Van Gundy,ORL,13,150,610,0.246,82,59,23,0.72,2009,coy
4,Nate McMillan,POR,15,127,610,0.208,82,54,28,0.659,2009,coy
5,George Karl,DEN,11,117,610,0.192,82,54,28,0.659,2009,coy
6,Jerry Sloan,UTA,9,78,610,0.128,82,48,34,0.585,2009,coy
7,Erik Spoelstra,MIA,2,53,610,0.087,82,43,39,0.524,2009,coy
8T,Phil Jackson,LAL,1,17,610,0.028,82,65,17,0.793,2009,coy
8T,Mike Woodson,ATL,1,17,610,0.028,82,47,35,0.573,2009,coy
10,Doc Rivers,BOS,1,15,610,0.025,82,62,20,0.756,2009,coy
11,Vinny Del Negro,CHI,1,9,610,0.015,82,41,41,0.5,2009,coy
12,Larry Brown,CHA,0,6,610,0.01,82,35,47,0.427,2009,coy
13T,Rick Carlisle,DAL,0,1,610,0.002,82,50,32,0.61,2009,coy
13T,Tony DiLeo,PHI,0,1,610,0.002,59,32,27,0.542,2009,coy
13T,Scott Skiles,MIL,0,1,610,0.002,82,34,48,0.415,2009,coy
