Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Pat Riley,NYK,32,32,98,0.327,82,60,22,0.732,1993,coy
2,Rudy Tomjanovich,HOU,31,31,98,0.316,82,55,27,0.671,1993,coy
3,George Karl,SEA,10,10,98,0.102,82,55,27,0.671,1993,coy
4,Paul Westphal,PHO,9,9,98,0.092,82,62,20,0.756,1993,coy
5,Chuck Daly,NJN,7,7,98,0.071,82,43,39,0.524,1993,coy
6,John Lucas,SAS,6,6,98,0.061,61,39,22,0.639,1993,coy
7,Chris Ford,BOS,2,2,98,0.02,82,48,34,0.585,1993,coy
8,Lenny Wilkens,CLE,1,1,98,0.01,82,54,28,0.659,1993,coy
