Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Avery Johnson,DAL,63,419,630,0.665,82,60,22,0.732,2006,coy
2,Mike D'Antoni,PHO,27,247,630,0.392,82,54,28,0.659,2006,coy
3,Flip Saunders,DET,18,223,630,0.354,82,64,18,0.78,2006,coy
4,Mike Dunleavy,LAC,5,88,630,0.14,82,47,35,0.573,2006,coy
5,Byron Scott,NOK,7,57,630,0.09,82,38,44,0.463,2006,coy
6,Gregg Popovich,SAS,2,25,630,0.04,82,63,19,0.768,2006,coy
7,Phil Jackson,LAL,1,13,630,0.021,82,45,37,0.549,2006,coy
8T,Mike Brown,CLE,1,9,630,0.014,82,50,32,0.61,2006,coy
8T,Lawrence Frank,NJN,0,8,630,0.013,82,49,33,0.598,2006,coy
10,Scott Skiles,CHI,0,8,630,0.013,82,41,41,0.5,2006,coy
11,Mike Fratello,MEM,0,7,630,0.011,82,49,33,0.598,2006,coy
12,Jerry Sloan,UTA,0,6,630,0.01,82,41,41,0.5,2006,coy
13,Brian Hill,ORL,0,4,630,0.006,82,36,46,0.439,2006,coy
14T,Bernie Bickerstaff,CHA,0,1,630,0.002,82,26,56,0.317,2006,coy
14T,George Karl,DEN,0,1,630,0.002,82,44,38,0.537,2006,coy
