Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1,Rudy Gobert,31,MIN,72,433,495,0.875,76,34.1,14.0,12.9,1.3,0.7,2.1,0.661,0.0,0.638,11.6,0.216,5.8,1.7,104,2024,dpoy
2,Victor Wembanyama,20,SAS,19,245,495,0.495,71,29.7,21.4,10.6,3.9,1.2,3.6,0.465,0.325,0.796,3.7,0.085,4.4,3.3,106,2024,dpoy
3,Bam Adebayo,26,MIA,3,91,495,0.184,71,34.0,19.3,10.4,3.9,1.1,0.9,0.521,0.357,0.755,7.2,0.144,4.3,1.7,109,2024,dpoy
4,Anthony Davis,30,LAL,4,83,495,0.168,76,35.5,24.7,12.6,3.5,1.2,2.3,0.556,0.271,0.816,11.8,0.21,4.7,1.7,109,2024,dpoy
5,Herbert Jones,25,NOP,0,14,495,0.028,76,30.5,11.0,3.6,2.6,1.4,0.8,0.498,0.418,0.867,6.3,0.131,3.0,1.5,113,2024,dpoy
6,Jrue Holiday,33,BOS,1,7,495,0.014,69,32.8,12.5,5.4,4.8,0.9,0.8,0.48,0.429,0.833,6.3,0.133,3.0,1.1,113,2024,dpoy
7,Shai Gilgeous-Alexander,25,OKC,0,6,495,0.012,75,34.0,30.1,5.5,6.2,2.0,0.9,0.535,0.353,0.874,14.6,0.275,4.2,2.3,110,2024,dpoy
8,Derrick White,29,BOS,0,5,495,0.01,73,32.6,15.2,4.2,5.2,1.0,1.2,0.461,0.396,0.901,8.5,0.171,3.3,1.4,112,2024,dpoy
9,Giannis Antetokounmpo,29,MIL,0,3,495,0.006,73,35.2,30.4,11.5,6.5,1.2,1.1,0.611,0.274,0.657,13.2,0.246,3.7,2.4,112,2024,dpoy
10T,Jarrett Allen,25,CLE,0,1,495,0.002,77,31.7,16.5,10.5,2.7,0.7,1.1,0.634,0.0,0.742,10.7,0.21,3.9,0.9,110,2024,dpoy
10T,Alex Caruso,29,CHI,0,1,495,0.002,71,28.7,10.1,3.8,3.5,1.7,1.0,0.468,0.408,0.76,4.9,0.115,2.6,2.3,113,2024,dpoy
10T,Domantas Sabonis,27,SAC,0,1,495,0.002,82,35.7,19.4,13.7,8.2,0.9,0.6,0.594,0.379,0.704,12.6,0.206,4.0,2.4,112,2024,dpoy
10T,Jalen Suggs,22,ORL,0,1,495,0.002,75,27.0,12.6,3.1,2.7,1.4,0.6,0.471,0.397,0.756,4.7,0.112,3.2,1.6,110,2024,dpoy
