Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Hubie Brown,MEM,62,466,610,0.764,82,50,32,0.61,2004,coy
2,Jerry Sloan,UTA,56,424,610,0.695,82,42,40,0.512,2004,coy
3T,Terry Porter,MIL,1,54,610,0.089,82,41,41,0.5,2004,coy
3T,Stan Van Gundy,MIA,1,54,610,0.089,82,42,40,0.512,2004,coy
5,Rick Carlisle,IND,2,41,610,0.067,82,61,21,0.744,2004,coy
6,Jeff Bzdelik,DEN,0,25,610,0.041,82,43,39,0.524,2004,coy
7,Flip Saunders,MIN,0,19,610,0.031,82,58,24,0.707,2004,coy
8,Phil Jackson,LAL,0,8,610,0.013,82,56,26,0.683,2004,coy
9T,Rick Adelman,SAC,0,3,610,0.005,82,55,27,0.671,2004,coy
9T,Gregg Popovich,SAS,0,3,610,0.005,82,57,25,0.695,2004,coy
11,Paul Silas,CLE,0,1,610,0.002,82,35,47,0.427,2004,coy
