Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Jack McKinney,IND,27,27,69,0.391,82,44,38,0.537,1981,coy
2,Stan Albeck,SAS,25,25,69,0.362,82,52,30,0.634,1981,coy
3T,John MacLeod,PHO,5,5,69,0.072,82,57,25,0.695,1981,coy
3T,Don Nelson,MIL,5,5,69,0.072,82,60,22,0.732,1981,coy
5,Jerry Sloan,CHI,3,3,69,0.043,82,45,37,0.549,1981,coy
6T,Billy Cunningham,PHI,1,1,69,0.014,82,62,20,0.756,1981,coy
6T,Bill Fitch,BOS,1,1,69,0.014,82,62,20,0.756,1981,coy
6T,Del Harris,HOU,1,1,69,0.014,82,40,42,0.488,1981,coy
6T,Dick Motta,DAL,1,1,69,0.014,82,15,67,0.183,1981,coy
