Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Kareem Abdul-Jabbar,23,MIL,133,698,780,0.895,82,40.1,31.7,16.0,3.3,,,0.577,,0.69,22.3,0.326,1971,nbamvp
2,Jerry West,32,LAL,4,166,780,0.213,69,41.2,26.9,4.6,9.5,,,0.494,,0.832,12.8,0.215,1971,nbamvp
3,Dave Bing,27,DET,6,119,780,0.153,82,37.4,27.0,4.4,5.0,,,0.467,,0.797,11.7,0.183,1971,nbamvp
4,Willis Reed,28,NYK,5,109,780,0.14,73,39.1,20.9,13.7,2.0,,,0.462,,0.785,10.6,0.179,1971,nbamvp
5,Oscar Robertson,32,MIL,5,63,780,0.081,81,39.4,19.4,5.7,8.2,,,0.496,,0.85,12.4,0.186,1971,nbamvp
6,John Havlicek,30,BOS,1,56,780,0.072,81,45.4,28.9,9.0,7.5,,,0.45,,0.818,12.5,0.164,1971,nbamvp
7,Bob Love,28,CHI,0,38,780,0.049,81,43.0,25.2,8.5,2.3,,,0.447,,0.829,9.9,0.137,1971,nbamvp
8,Nate Thurmond,29,SFW,0,33,780,0.042,82,40.9,20.0,13.8,3.1,,,0.445,,0.73,7.2,0.103,1971,nbamvp
9,Billy Cunningham,27,PHI,1,25,780,0.032,81,38.1,23.0,11.7,4.9,,,0.462,,0.734,10.0,0.156,1971,nbamvp
10,Gus Johnson,32,BAL,1,15,780,0.019,66,38.5,18.2,17.1,2.9,,,0.453,,0.738,7.2,0.136,1971,nbamvp
