Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Mel Daniels,26,INA,9,84,110,0.764,82,38.7,21.0,18.0,2.2,,,0.514,0.077,0.679,11.4,0.173,1971,abamvp
2,Zelmo Beaty,31,UTS,5,69,110,0.627,76,38.4,22.9,15.7,1.9,,,0.555,0.5,0.791,16.0,0.264,1971,abamvp
3,Charlie Scott,22,VIR,5,64,110,0.582,84,37.9,27.1,5.2,5.6,,,0.463,0.246,0.746,7.2,0.109,1971,abamvp
4,Dan Issel,22,KEN,1,45,110,0.409,83,39.4,29.9,13.2,2.0,,,0.485,0.0,0.807,10.7,0.157,1971,abamvp
5,Rick Barry,26,NYA,1,39,110,0.355,59,42.4,29.4,6.8,5.0,,,0.469,0.221,0.89,8.1,0.155,1971,abamvp
6,Mack Calvin,23,FLO,0,6,110,0.055,81,41.9,27.2,3.5,7.6,,,0.431,0.288,0.865,8.5,0.12,1971,abamvp
7T,Larry Jones,28,FLO,1,5,110,0.045,84,43.0,24.3,5.4,4.6,,,0.467,0.363,0.802,8.8,0.117,1971,abamvp
7T,Steve Jones,28,MMP,0,5,110,0.045,83,35.2,22.1,3.6,2.2,,,0.47,0.37,0.83,8.2,0.134,1971,abamvp
9T,John Brisker,23,PTC,0,3,110,0.027,79,39.1,29.3,9.7,2.9,,,0.455,0.337,0.829,8.2,0.128,1971,abamvp
9T,Wendell Ladner,22,MMP,0,3,110,0.027,77,32.5,17.0,11.4,2.1,,,0.437,0.276,0.703,4.0,0.077,1971,abamvp
9T,Bill Melchionni,26,NYA,0,3,110,0.027,81,40.5,17.6,2.9,8.3,,,0.451,0.091,0.814,4.8,0.07,1971,abamvp
12T,Mike Barrett,27,VIR,0,1,110,0.009,84,32.8,13.7,3.2,5.1,,,0.464,0.272,0.759,4.9,0.085,1971,abamvp
12T,Roger Brown,28,INA,0,1,110,0.009,82,41.0,20.6,6.9,4.8,,,0.482,0.283,0.795,10.9,0.155,1971,abamvp
12T,Joe Caldwell,29,CAR,0,1,110,0.009,72,41.8,23.3,6.8,4.2,,,0.448,0.2,0.558,2.3,0.036,1971,abamvp
12T,Donnie Freeman,26,TOT,0,1,110,0.009,66,36.6,23.6,4.9,5.0,,,0.483,0.0,0.8,7.6,0.151,1971,abamvp
12T,Ray Scott,32,VIR,0,1,110,0.009,72,21.6,14.3,8.0,1.7,,,0.45,1.0,0.792,3.0,0.093,1971,abamvp
