# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1st,F,Scottie Pippen,28.0,CHI,45.0,54.0,0.833,72.0,38.3,22.0,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194,6.0,3.2,97.0,1994,all-defensive
1st,G,Gary Payton,25.0,SEA,42.0,54.0,0.778,82.0,35.1,16.5,3.3,6.0,2.3,0.2,0.504,0.278,0.595,9.3,0.155,4.1,1.3,103.0,1994,all-defensive
1st,G,Mookie Blaylock,26.0,ATL,35.0,54.0,0.648,81.0,36.0,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,0.168,5.3,2.3,100.0,1994,all-defensive
1st,F,Charles Oakley,30.0,NYK,35.0,54.0,0.648,82.0,35.8,11.8,11.8,2.7,1.3,0.2,0.478,0.0,0.776,10.5,0.172,6.8,1.5,96.0,1994,all-defensive
1st,C,Hakeem Olajuwon,31.0,HOU,35.0,54.0,0.648,80.0,41.0,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21,7.9,3.3,95.0,1994,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1994,all-defensive
2nd,F,Dennis Rodman,32.0,SAS,34.0,54.0,0.63,79.0,37.8,4.7,17.3,2.3,0.7,0.4,0.534,0.208,0.52,8.7,0.14,5.4,0.3,100.0,1994,all-defensive
2nd,C,David Robinson,28.0,SAS,33.0,54.0,0.611,80.0,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20.0,0.296,6.7,3.8,98.0,1994,all-defensive
2nd,G,Nate McMillan,29.0,SEA,23.0,54.0,0.426,73.0,25.8,6.0,3.9,5.3,3.0,0.3,0.447,0.391,0.564,6.0,0.154,4.5,5.5,95.0,1994,all-defensive
2nd,F,Horace Grant,28.0,CHI,20.0,54.0,0.37,70.0,36.7,15.1,11.0,3.4,1.1,1.2,0.524,0.0,0.596,10.0,0.188,4.3,0.9,101.0,1994,all-defensive
2nd,G,Latrell Sprewell,23.0,GSW,14.0,54.0,0.259,82.0,43.1,21.0,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8.0,0.108,3.2,0.3,107.0,1994,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1994,all-defensive
ORV,G,Joe Dumars,30.0,DET,11.0,54.0,0.204,69.0,37.6,20.4,2.2,3.8,0.9,0.1,0.452,0.388,0.836,4.4,0.082,-0.1,-2.0,115.0,1994,all-defensive
ORV,G,John Stockton,31.0,UTA,11.0,54.0,0.204,82.0,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,0.214,4.0,2.2,104.0,1994,all-defensive
ORV,F,Stacey Augmon,25.0,ATL,8.0,54.0,0.148,82.0,31.8,14.8,4.8,2.3,1.8,0.5,0.51,0.143,0.764,9.7,0.179,4.0,1.4,102.0,1994,all-defensive
ORV,G,John Starks,28.0,NYK,8.0,54.0,0.148,59.0,34.9,19.0,3.1,5.9,1.6,0.1,0.42,0.335,0.754,5.8,0.135,3.7,0.9,100.0,1994,all-defensive
ORV,F,Shawn Kemp,24.0,SEA,7.0,54.0,0.13,79.0,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216,6.0,2.0,96.0,1994,all-defensive
