Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Hubie Brown,ATL,28.5,28.5,66,0.432,82,41,41,0.5,1978,coy
2,Lenny Wilkens,SEA,19.5,19.5,66,0.295,60,42,18,0.7,1978,coy
3,Doug Moe,SAS,7.0,7.0,66,0.106,82,52,30,0.634,1978,coy
4T,John MacLeod,PHO,4.0,4.0,66,0.061,82,49,33,0.598,1978,coy
4T,Jack Ramsay,POR,4.0,4.0,66,0.061,82,58,24,0.707,1978,coy
6,Don Nelson,MIL,2.0,2.0,66,0.03,82,44,38,0.537,1978,coy
7,Elgin Baylor,NOJ,1.0,1.0,66,0.015,82,39,43,0.476,1978,coy
