Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Byron Scott,NOH,70,458,625,0.733,82,56,26,0.683,2008,coy
2,Doc Rivers,BOS,23,242,625,0.387,82,66,16,0.805,2008,coy
3,Rick Adelman,HOU,17,193,625,0.309,82,55,27,0.671,2008,coy
4,Maurice Cheeks,PHI,5,81,625,0.13,82,40,42,0.488,2008,coy
5,Phil Jackson,LAL,4,56,625,0.09,82,57,25,0.695,2008,coy
6,Jerry Sloan,UTA,6,49,625,0.078,82,54,28,0.659,2008,coy
7,Eddie Jordan,WAS,0,47,625,0.075,82,43,39,0.524,2008,coy
8,Stan Van Gundy,ORL,0,14,625,0.022,82,52,30,0.634,2008,coy
9,Nate McMillan,POR,0,3,625,0.005,82,41,41,0.5,2008,coy
10T,Mike D'Antoni,PHO,0,1,625,0.002,82,55,27,0.671,2008,coy
10T,Flip Saunders,DET,0,1,625,0.002,82,59,23,0.72,2008,coy
