# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,Scottie Barnes,20.0,TOR,200.0,200.0,1.0,100.0,0.0,74.0,35.4,15.3,7.5,3.5,1.1,0.7,0.492,0.301,0.735,6.6,0.122,2022,all-rookie
1st,Cade Cunningham,20.0,DET,200.0,200.0,1.0,100.0,0.0,64.0,32.6,17.4,5.5,5.6,1.2,0.7,0.416,0.314,0.845,-0.5,-0.011,2022,all-rookie
1st,Evan Mobley,20.0,CLE,200.0,200.0,1.0,100.0,0.0,69.0,33.8,15.0,8.3,2.5,0.8,1.7,0.508,0.25,0.663,5.2,0.107,2022,all-rookie
1st,Franz Wagner,20.0,ORL,183.0,200.0,0.915,84.0,15.0,79.0,30.7,15.2,4.5,2.9,0.9,0.4,0.468,0.354,0.863,4.0,0.079,2022,all-rookie
1st,Jalen Green,19.0,HOU,158.0,200.0,0.79,58.0,42.0,67.0,31.9,17.3,3.4,2.6,0.7,0.3,0.426,0.343,0.797,0.7,0.015,2022,all-rookie
,,,,,,,,,,,,,,,,,,,,,2022,all-rookie
2nd,Herbert Jones,23.0,NOP,123.0,200.0,0.615,32.0,59.0,78.0,29.9,9.5,3.8,2.1,1.7,0.8,0.476,0.337,0.84,4.6,0.096,2022,all-rookie
2nd,Josh Giddey,19.0,OKC,122.0,200.0,0.61,24.0,74.0,54.0,31.5,12.5,7.8,6.4,0.9,0.4,0.419,0.263,0.709,0.4,0.01,2022,all-rookie
2nd,Bones Hyland,21.0,DEN,81.0,200.0,0.405,0.0,81.0,69.0,19.0,10.1,2.7,2.8,0.6,0.3,0.403,0.366,0.856,2.4,0.088,2022,all-rookie
2nd,Ayo Dosunmu,22.0,CHI,75.0,200.0,0.375,2.0,71.0,77.0,27.4,8.8,2.8,3.3,0.8,0.4,0.52,0.376,0.679,3.0,0.069,2022,all-rookie
2nd,Chris Duarte,24.0,IND,52.0,200.0,0.26,0.0,52.0,55.0,28.0,13.1,4.1,2.1,1.0,0.2,0.432,0.369,0.804,0.9,0.029,2022,all-rookie
,,,,,,,,,,,,,,,,,,,,,2022,all-rookie
ORV,Jonathan Kuminga,19.0,GSW,47.0,200.0,0.235,0.0,47.0,70.0,16.9,9.3,3.3,0.9,0.4,0.3,0.513,0.336,0.684,3.0,0.123,2022,all-rookie
ORV,Davion Mitchell,23.0,SAC,28.0,200.0,0.14,0.0,28.0,75.0,27.7,11.5,2.2,4.2,0.7,0.3,0.418,0.316,0.659,0.1,0.003,2022,all-rookie
ORV,Alperen Sengun,19.0,HOU,13.0,200.0,0.065,0.0,13.0,72.0,20.7,9.6,5.5,2.6,0.8,0.9,0.474,0.248,0.711,2.1,0.068,2022,all-rookie
ORV,Jalen Suggs,20.0,ORL,6.0,200.0,0.03,0.0,6.0,48.0,27.2,11.8,3.6,4.4,1.2,0.4,0.361,0.214,0.773,-1.6,-0.06,2022,all-rookie
ORV,Ziaire Williams,20.0,MEM,5.0,200.0,0.025,0.0,5.0,62.0,21.7,8.1,2.1,1.0,0.6,0.2,0.45,0.314,0.782,2.2,0.08,2022,all-rookie
ORV,Jose Alvarado,23.0,NOP,2.0,200.0,0.01,0.0,2.0,54.0,15.4,6.1,1.9,2.8,1.3,0.1,0.446,0.291,0.679,2.1,0.121,2022,all-rookie
ORV,Austin Reaves,23.0,LAL,2.0,200.0,0.01,0.0,2.0,61.0,23.2,7.3,3.2,1.8,0.5,0.3,0.459,0.317,0.839,2.9,0.097,2022,all-rookie
ORV,Josh Christopher,20.0,HOU,1.0,200.0,0.005,0.0,1.0,74.0,18.0,7.9,2.5,2.0,0.9,0.2,0.448,0.296,0.735,0.3,0.01,2022,all-rookie
ORV,Trey Murphy III,21.0,NOP,1.0,200.0,0.005,0.0,1.0,62.0,13.9,5.4,2.4,0.6,0.4,0.1,0.394,0.382,0.882,1.9,0.104,2022,all-rookie
ORV,Cam Thomas,20.0,BRK,1.0,200.0,0.005,0.0,1.0,67.0,17.6,8.5,2.4,1.2,0.5,0.1,0.433,0.27,0.829,0.8,0.033,2022,all-rookie
