Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Stephen Curry,35,GSW,45,298,495,0.602,74,32.7,26.4,4.5,5.1,0.7,0.4,0.45,0.408,0.923,7.2,0.142,2024,clutch player
2,DeMar DeRozan,34,CHI,34,272,495,0.549,79,37.8,24.0,4.3,5.3,1.1,0.6,0.48,0.333,0.853,9.2,0.147,2024,clutch player
3,Shai Gilgeous-Alexander,25,OKC,11,160,495,0.323,75,34.0,30.1,5.5,6.2,2.0,0.9,0.535,0.353,0.874,14.6,0.275,2024,clutch player
4,Nikola Jokić,28,DEN,4,85,495,0.172,79,34.6,26.4,12.4,9.0,1.4,0.9,0.583,0.359,0.817,17.0,0.299,2024,clutch player
5,Jalen Brunson,27,NYK,2,26,495,0.053,77,35.4,28.7,3.6,6.7,0.9,0.2,0.479,0.401,0.847,11.2,0.198,2024,clutch player
6,Luka Dončić,24,DAL,1,16,495,0.032,70,37.5,33.9,9.2,9.8,1.4,0.5,0.487,0.382,0.786,12.0,0.22,2024,clutch player
7,Kyrie Irving,31,DAL,0,14,495,0.028,58,35.0,25.6,5.0,5.2,1.3,0.5,0.497,0.411,0.905,6.9,0.163,2024,clutch player
8,Anthony Edwards,22,MIN,1,6,495,0.012,79,35.1,25.9,5.4,5.1,1.3,0.5,0.461,0.357,0.836,7.5,0.13,2024,clutch player
9,Jayson Tatum,25,BOS,1,5,495,0.01,74,35.7,26.9,8.1,4.9,1.0,0.6,0.471,0.376,0.833,10.4,0.189,2024,clutch player
10,LeBron James,39,LAL,0,3,495,0.006,71,35.3,25.7,7.3,8.3,1.3,0.5,0.54,0.41,0.75,8.5,0.164,2024,clutch player
11,Damian Lillard,33,MIL,0,2,495,0.004,73,35.3,24.3,4.4,7.0,1.0,0.2,0.424,0.354,0.92,7.7,0.143,2024,clutch player
12T,Giannis Antetokounmpo,29,MIL,0,1,495,0.002,73,35.2,30.4,11.5,6.5,1.2,1.1,0.611,0.274,0.657,13.2,0.246,2024,clutch player
12T,De'Aaron Fox,26,SAC,0,1,495,0.002,74,35.9,26.6,4.6,5.6,2.0,0.4,0.465,0.369,0.738,6.5,0.117,2024,clutch player
12T,Malik Monk,25,SAC,0,1,495,0.002,72,26.0,15.4,2.9,5.1,0.6,0.5,0.443,0.35,0.829,3.5,0.09,2024,clutch player
12T,Jalen Williams,22,OKC,0,1,495,0.002,71,31.3,19.1,4.0,4.5,1.1,0.6,0.54,0.427,0.814,7.3,0.157,2024,clutch player
