# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,Walter Davis,23.0,PHO,21.0,21.0,1.0,,,81.0,32.0,24.2,6.0,3.4,1.4,0.2,0.526,,0.83,10.1,0.187,1978,all-rookie
1st,Marques Johnson,21.0,MIL,21.0,21.0,1.0,,,80.0,34.6,19.5,10.6,2.4,1.2,1.3,0.522,,0.736,10.6,0.185,1978,all-rookie
1st,Bernard King,21.0,NJN,,21.0,,,,79.0,39.1,24.2,9.5,2.4,1.5,0.5,0.479,,0.677,5.9,0.092,1978,all-rookie
1st,Norm Nixon,22.0,LAL,,21.0,,,,81.0,34.3,13.7,3.0,6.8,1.7,0.1,0.497,,0.714,4.5,0.078,1978,all-rookie
1st,Jack Sikma,22.0,SEA,,21.0,,,,82.0,27.3,10.7,8.3,1.6,0.8,0.5,0.455,,0.777,5.4,0.115,1978,all-rookie
,,,,,,,,,,,,,,,,,,,,,1978,all-rookie
ORV,Otis Birdsong,22.0,KCK,,21.0,,,,73.0,25.7,15.8,2.4,2.4,1.0,0.2,0.492,,0.697,4.2,0.108,1978,all-rookie
ORV,Anthony Roberts,22.0,DEN,,21.0,,,,82.0,19.5,9.5,4.3,1.3,0.5,0.1,0.423,,0.722,1.9,0.057,1978,all-rookie
ORV,Tree Rollins,22.0,ATL,,21.0,,,,80.0,22.4,7.6,6.9,1.0,0.7,2.7,0.487,,0.703,5.0,0.133,1978,all-rookie
ORV,Ray Williams,23.0,NYK,,21.0,,,,81.0,19.1,9.3,2.6,4.5,1.3,0.2,0.443,,0.705,1.0,0.031,1978,all-rookie
