Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Mike D'Antoni,HOU,68,400,500,0.8,82,55,27,0.671,2017,coy
2,Erik Spoelstra,MIA,9,153,500,0.306,82,41,41,0.5,2017,coy
3,Gregg Popovich,SAS,8,115,500,0.23,82,61,21,0.744,2017,coy
4,Brad Stevens,BOS,7,96,500,0.192,82,53,29,0.646,2017,coy
5,Scott Brooks,WAS,5,63,500,0.126,82,49,33,0.598,2017,coy
6,Quin Snyder,UTA,1,37,500,0.074,82,51,31,0.622,2017,coy
7,Steve Kerr,GSW,1,14,500,0.028,82,67,15,0.817,2017,coy
8,Jason Kidd,MIL,1,13,500,0.026,82,42,40,0.512,2017,coy
9,Dwane Casey,TOR,0,5,500,0.01,82,51,31,0.622,2017,coy
10,David Fizdale,MEM,0,4,500,0.008,82,43,39,0.524,2017,coy
