Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Gene Shue,BAL,24,24,39,0.615,82,57,25,0.695,1969,coy
2,Jack Ramsay,PHI,11,11,39,0.282,82,55,27,0.671,1969,coy
3,Red Holzman,NYK,3,3,39,0.077,82,54,28,0.659,1969,coy
4,Larry Costello,MIL,1,1,39,0.026,82,27,55,0.329,1969,coy
