Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Mike Budenholzer,ATL,67,513,650,0.789,82,60,22,0.732,2015,coy
2,Steve Kerr,GSW,56,471,650,0.725,82,67,15,0.817,2015,coy
3,Jason Kidd,MIL,1,57,650,0.088,82,41,41,0.5,2015,coy
4,Brad Stevens,BOS,2,50,650,0.077,82,40,42,0.488,2015,coy
5,Gregg Popovich,SAS,3,38,650,0.058,82,55,27,0.671,2015,coy
6,Kevin McHale,HOU,0,13,650,0.02,82,56,26,0.683,2015,coy
7,Tom Thibodeau,CHI,1,10,650,0.015,82,50,32,0.61,2015,coy
8,Quin Snyder,UTA,0,7,650,0.011,82,38,44,0.463,2015,coy
9,David Blatt,CLE,0,3,650,0.005,82,53,29,0.646,2015,coy
10T,Doc Rivers,LAC,0,2,650,0.003,82,56,26,0.683,2015,coy
10T,Terry Stotts,POR,0,2,650,0.003,82,51,31,0.622,2015,coy
12T,Rick Carlisle,DAL,0,1,650,0.002,82,50,32,0.61,2015,coy
12T,Dwane Casey,TOR,0,1,650,0.002,82,49,33,0.598,2015,coy
12T,Jeff Hornacek,PHO,0,1,650,0.002,82,39,43,0.476,2015,coy
12T,Monty Williams,NOP,0,1,650,0.002,82,45,37,0.549,2015,coy
