Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Nick Nurse,TOR,90,470,500,0.94,72,53,19,0.736,2020,coy
2,Mike Budenholzer,MIL,5,147,500,0.294,73,56,17,0.767,2020,coy
3,Billy Donovan,OKC,4,134,500,0.268,72,44,28,0.611,2020,coy
4,Erik Spoelstra,MIA,0,54,500,0.108,73,44,29,0.603,2020,coy
5,Frank Vogel,LAL,0,36,500,0.072,71,52,19,0.732,2020,coy
6,Taylor Jenkins,MEM,0,29,500,0.058,73,34,39,0.466,2020,coy
7,Nate McMillan,IND,1,12,500,0.024,73,45,28,0.616,2020,coy
8T,Michael Malone,DEN,0,5,500,0.01,73,46,27,0.63,2020,coy
8T,Doc Rivers,LAC,0,5,500,0.01,72,49,23,0.681,2020,coy
8T,Brad Stevens,BOS,0,5,500,0.01,72,48,24,0.667,2020,coy
11,Rick Carlisle,DAL,0,3,500,0.006,75,43,32,0.573,2020,coy
