Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Del Harris,LAL,62,62,105,0.59,82,48,34,0.585,1995,coy
2,Mike Fratello,CLE,15,15,105,0.143,82,43,39,0.524,1995,coy
3,Bob Hill,SAS,12,12,105,0.114,82,62,20,0.756,1995,coy
4,Jerry Sloan,UTA,11,11,105,0.105,82,60,22,0.732,1995,coy
5,Dick Motta,DAL,5,5,105,0.048,82,36,46,0.439,1995,coy
