Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Mel Daniels,24,INA,8,160,176,0.909,76,38.6,24.0,16.5,1.5,,,0.476,0.0,0.604,8.6,0.14,1969,abamvp
2,Connie Hawkins,26,MNP,6,140,176,0.795,47,39.4,30.2,11.4,3.9,,,0.511,0.136,0.767,11.3,0.293,1969,abamvp
3,Larry Jones,26,DNR,3,120,176,0.682,75,40.6,28.4,6.6,3.4,,,0.465,0.24,0.778,10.9,0.172,1969,abamvp
4,Jimmy Jones,24,NOB,3,100,176,0.568,77,41.4,26.6,5.7,5.7,,,0.535,0.143,0.805,16.1,0.242,1969,abamvp
5,Rick Barry,24,OAK,2,70,176,0.398,35,38.9,34.0,9.4,3.9,,,0.511,0.3,0.888,8.5,0.301,1969,abamvp
6,Donnie Freeman,24,MMF,0,55,176,0.313,78,36.8,22.1,3.7,6.4,,,0.484,0.087,0.787,9.9,0.166,1969,abamvp
7,Warren Jabali,22,OAK,0,40,176,0.227,71,35.8,21.5,9.7,3.5,,,0.449,0.25,0.684,5.8,0.109,1969,abamvp
8,Louie Dampier,24,KEN,0,30,176,0.17,78,42.6,24.8,3.8,5.8,,,0.42,0.361,0.811,9.5,0.138,1969,abamvp
9,Roger Brown,26,INA,0,25,176,0.142,75,35.4,21.0,6.8,4.6,,,0.482,0.313,0.785,10.0,0.181,1969,abamvp
10,Doug Moe,30,OAK,0,20,176,0.114,75,33.7,19.0,8.2,2.0,,,0.431,0.357,0.811,4.8,0.091,1969,abamvp
11,Cincy Powell,26,DLC,0,15,176,0.085,75,34.3,19.4,8.9,2.3,,,0.471,0.286,0.728,6.4,0.119,1969,abamvp
12,John Beasley,24,DLC,0,10,176,0.057,78,39.1,19.3,10.6,1.4,,,0.488,0.3,0.826,8.1,0.127,1969,abamvp
