Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Swen Nater,24,TOT,,24,64,0.375,79,30.1,14.1,12.6,1.6,0.4,0.8,0.552,0.0,0.709,8.7,0.176,1974,abaroy
2,Caldwell Jones,23,SDA,,23,64,0.359,79,37.1,15.0,13.9,1.8,0.8,4.0,0.465,0.25,0.743,7.6,0.125,1974,abaroy
3,Larry Kenon,21,NYA,,14,64,0.219,84,34.6,15.9,11.5,1.3,0.9,0.2,0.462,0.0,0.703,5.9,0.097,1974,abaroy
4,John Williamson,22,NYA,,3,64,0.047,77,29.4,14.5,2.8,3.2,1.1,0.4,0.491,0.182,0.789,4.2,0.089,1974,abaroy
