Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Alex Hannum,SFW,20.5,20.5,25,0.82,80,48,32,0.6,1964,coy
2,Jack McMahon,CIN,2.5,2.5,25,0.1,80,55,25,0.688,1964,coy
3T,Red Auerbach,BOS,1.0,1.0,25,0.04,80,59,21,0.738,1964,coy
3T,Charles Wolf,DET,1.0,1.0,25,0.04,80,23,57,0.288,1964,coy
