Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Mark Daigneault,OKC,89,473,495,0.956,82,57,25,0.695,2024,coy
2,Jamahl Mosley,ORL,4,158,495,0.319,82,47,35,0.573,2024,coy
3,Chris Finch,MIN,1,105,495,0.212,82,56,26,0.683,2024,coy
4,Joe Mazzulla,BOS,2,79,495,0.16,82,64,18,0.78,2024,coy
5,Tom Thibodeau,NYK,2,59,495,0.119,82,50,32,0.61,2024,coy
6,Erik Spoelstra,MIA,1,6,495,0.012,82,46,36,0.561,2024,coy
7,Ime Udoka,HOU,0,6,495,0.012,82,41,41,0.5,2024,coy
8,Rick Carlisle,IND,0,2,495,0.004,82,47,35,0.573,2024,coy
9T,J.B. Bickerstaff,CLE,0,1,495,0.002,82,48,34,0.585,2024,coy
9T,Jason Kidd,DAL,0,1,495,0.002,82,50,32,0.61,2024,coy
9T,Michael Malone,DEN,0,1,495,0.002,82,57,25,0.695,2024,coy
