Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1,Michael Cooper,30,LAL,25,25,78,0.321,82,27.5,10.5,3.1,4.5,1.0,0.5,0.438,0.385,0.851,6.1,0.131,2.3,0.7,108,1987,dpoy
2,Alvin Robertson,24,SAS,16,16,78,0.205,81,33.3,17.7,5.2,5.2,3.2,0.4,0.466,0.271,0.753,5.3,0.094,3.4,2.1,106,1987,dpoy
3,Mark Eaton,30,UTA,10,10,78,0.128,79,31.7,7.7,8.8,1.3,0.5,4.1,0.4,,0.657,3.6,0.068,5.0,3.1,100,1987,dpoy
4,Manute Bol,24,WSB,8,8,78,0.103,82,18.9,3.1,4.4,0.1,0.2,3.7,0.446,0.0,0.672,2.4,0.074,2.9,4.6,101,1987,dpoy
5,Kevin McHale,29,BOS,5,5,78,0.064,77,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0.0,0.836,14.8,0.232,4.0,0.4,106,1987,dpoy
6,Maurice Cheeks,30,PHI,4,4,78,0.051,68,38.6,15.6,3.2,7.9,2.6,0.2,0.527,0.235,0.777,7.9,0.145,2.7,1.0,108,1987,dpoy
7,Dennis Johnson,32,BOS,3,3,78,0.038,79,37.1,13.4,3.3,7.5,1.1,0.5,0.444,0.113,0.833,5.2,0.085,2.6,-0.1,109,1987,dpoy
8T,T.R. Dunn,31,DEN,1,1,78,0.013,81,23.9,3.4,3.3,1.8,1.2,0.3,0.428,0.0,0.655,2.4,0.06,1.5,1.2,110,1987,dpoy
8T,Bill Hanzlik,29,DEN,1,1,78,0.013,73,27.3,13.0,3.5,3.8,1.2,0.4,0.412,0.275,0.786,3.5,0.085,1.5,-0.2,111,1987,dpoy
8T,Derek Harper,25,DAL,1,1,78,0.013,77,33.2,16.0,2.6,7.9,2.2,0.3,0.501,0.358,0.684,9.4,0.177,2.6,1.2,109,1987,dpoy
8T,Michael Jordan,23,CHI,1,1,78,0.013,82,40.0,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247,5.0,2.4,104,1987,dpoy
8T,Fat Lever,26,DEN,1,1,78,0.013,82,37.2,18.9,8.9,8.0,2.5,0.4,0.469,0.239,0.782,9.7,0.153,3.8,1.4,107,1987,dpoy
8T,Paul Pressey,28,MIL,1,1,78,0.013,61,33.7,13.9,4.9,7.2,1.8,0.8,0.477,0.291,0.738,5.5,0.129,2.9,1.6,105,1987,dpoy
8T,Doc Rivers,25,ATL,1,1,78,0.013,82,31.6,12.8,3.6,10.0,2.1,0.4,0.451,0.19,0.828,10.3,0.191,3.9,2.4,104,1987,dpoy
