Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Scott Brooks,OKC,71,480,615,0.78,82,50,32,0.61,2010,coy
2,Scott Skiles,MIL,26,313,615,0.509,82,46,36,0.561,2010,coy
3,Nate McMillan,POR,9,107,615,0.174,82,50,32,0.61,2010,coy
4,Jerry Sloan,UTA,10,98,615,0.159,82,53,29,0.646,2010,coy
5,Alvin Gentry,PHO,4,46,615,0.075,82,54,28,0.659,2010,coy
6,Larry Brown,CHA,1,23,615,0.037,82,44,38,0.537,2010,coy
7,George Karl,DEN,1,11,615,0.018,82,53,29,0.646,2010,coy
8T,Rick Adelman,HOU,0,7,615,0.011,82,42,40,0.512,2010,coy
8T,Mike Woodson,ATL,0,7,615,0.011,82,53,29,0.646,2010,coy
10,Lionel Hollins,MEM,0,6,615,0.01,82,40,42,0.488,2010,coy
11,Stan Van Gundy,ORL,1,5,615,0.008,82,59,23,0.72,2010,coy
12,Mike Brown,CLE,0,2,615,0.003,82,61,21,0.744,2010,coy
13T,Rick Carlisle,DAL,0,1,615,0.002,82,55,27,0.671,2010,coy
13T,Erik Spoelstra,MIA,0,1,615,0.002,82,47,35,0.573,2010,coy
