Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Kareem Abdul-Jabbar,24,MIL,81,581,900,0.646,81,44.2,34.8,16.6,4.6,,,0.574,,0.689,25.4,0.34,1972,nbamvp
2,Jerry West,33,LAL,44,393,900,0.437,77,38.6,25.8,4.2,9.7,,,0.477,,0.814,13.3,0.216,1972,nbamvp
3,Wilt Chamberlain,35,LAL,36,294,900,0.327,82,42.3,14.8,19.2,4.0,,,0.649,,0.422,15.8,0.219,1972,nbamvp
4,John Havlicek,31,BOS,1,65,900,0.072,82,45.1,27.5,8.2,7.5,,,0.458,,0.834,12.4,0.162,1972,nbamvp
5,Spencer Haywood,22,SEA,2,49,900,0.054,73,43.4,26.2,12.7,2.0,,,0.461,,0.819,8.7,0.131,1972,nbamvp
6,Bob Love,29,CHI,1,29,900,0.032,79,39.3,25.8,6.6,1.6,,,0.442,,0.784,7.5,0.115,1972,nbamvp
7,Dave Cowens,23,BOS,2,28,900,0.031,79,40.3,18.8,15.2,3.1,,,0.484,,0.72,10.4,0.156,1972,nbamvp
8,Nate Thurmond,30,GSW,1,24,900,0.027,78,43.1,21.4,16.1,2.9,,,0.432,,0.743,9.0,0.128,1972,nbamvp
9,Bob Lanier,23,DET,2,21,900,0.023,80,38.7,25.7,14.2,3.1,,,0.493,,0.768,8.4,0.13,1972,nbamvp
10,Dave DeBusschere,31,NYK,1,20,900,0.022,80,38.4,15.4,11.3,3.6,,,0.427,,0.728,4.8,0.075,1972,nbamvp
11,Walt Frazier,26,NYK,1,19,900,0.021,77,40.6,23.2,6.7,5.8,,,0.512,,0.808,14.5,0.223,1972,nbamvp
12,Archie Clark,30,TOT,0,17,900,0.019,77,42.7,25.2,3.5,8.0,,,0.47,,0.771,11.0,0.16,1972,nbamvp
13,Jerry Lucas,31,NYK,0,14,900,0.016,77,38.0,16.7,13.1,4.1,,,0.512,,0.791,11.2,0.184,1972,nbamvp
14,Paul Silas,28,PHO,1,11,900,0.012,80,38.5,17.5,11.9,4.3,,,0.47,,0.773,11.0,0.172,1972,nbamvp
15T,Tiny Archibald,23,CIN,2,10,900,0.011,76,43.1,28.2,2.9,9.2,,,0.486,,0.822,12.9,0.189,1972,nbamvp
15T,Oscar Robertson,33,MIL,1,10,900,0.011,64,37.3,17.4,5.0,7.7,,,0.472,,0.836,8.3,0.167,1972,nbamvp
17T,Connie Hawkins,29,PHO,1,5,900,0.006,76,36.8,21.0,8.3,3.9,,,0.459,,0.807,9.6,0.165,1972,nbamvp
17T,Elvin Hayes,26,HOU,1,5,900,0.006,82,42.2,25.2,14.6,3.3,,,0.434,,0.649,7.3,0.101,1972,nbamvp
17T,Cazzie Russell,27,GSW,1,5,900,0.006,79,36.7,21.4,5.4,3.1,,,0.455,,0.833,7.3,0.12,1972,nbamvp
17T,Sidney Wicks,22,POR,1,5,900,0.006,82,39.6,24.5,11.5,4.3,,,0.427,,0.71,2.3,0.034,1972,nbamvp
21T,Billy Cunningham,28,PHI,0,3,900,0.003,75,38.7,23.3,12.2,5.9,,,0.461,,0.712,8.3,0.137,1972,nbamvp
21T,Gail Goodrich,28,LAL,0,3,900,0.003,82,37.1,25.9,3.6,4.5,,,0.487,,0.85,12.3,0.194,1972,nbamvp
21T,Pete Maravich,24,ATL,0,3,900,0.003,66,34.9,19.3,3.9,6.0,,,0.427,,0.811,4.2,0.088,1972,nbamvp
21T,Jerry Sloan,29,CHI,0,3,900,0.003,82,37.0,16.2,8.4,2.6,,,0.444,,0.66,7.2,0.114,1972,nbamvp
25T,Walt Bellamy,32,ATL,0,1,900,0.001,82,38.9,18.6,12.8,3.2,,,0.545,,0.585,10.3,0.155,1972,nbamvp
25T,Bill Bradley,28,NYK,0,1,900,0.001,78,35.6,15.1,3.2,4.0,,,0.465,,0.849,5.4,0.094,1972,nbamvp
25T,Fred Carter,26,TOT,0,1,900,0.001,79,28.0,13.6,4.1,2.7,,,0.438,,0.621,1.8,0.04,1972,nbamvp
