# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1st,F,Dave DeBusschere,30.0,NYK,32.0,34.0,0.941,81.0,35.7,15.6,11.1,2.7,,,0.421,,0.696,6.2,0.102,6.4,,,1971,all-defensive
1st,G,Walt Frazier,25.0,NYK,29.0,34.0,0.853,80.0,43.2,21.7,6.8,6.7,,,0.494,,0.779,15.6,0.217,6.7,,,1971,all-defensive
1st,G,Jerry West,32.0,LAL,25.0,34.0,0.735,69.0,41.2,26.9,4.6,9.5,,,0.494,,0.832,12.8,0.215,2.5,,,1971,all-defensive
1st,F,Gus Johnson,32.0,BAL,22.0,34.0,0.647,66.0,38.5,18.2,17.1,2.9,,,0.453,,0.738,7.2,0.136,5.0,,,1971,all-defensive
1st,C,Nate Thurmond,29.0,SFW,21.0,34.0,0.618,82.0,40.9,20.0,13.8,3.1,,,0.445,,0.73,7.2,0.103,3.4,,,1971,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1971,all-defensive
2nd,C,Kareem Abdul-Jabbar,23.0,MIL,18.0,34.0,0.529,82.0,40.1,31.7,16.0,3.3,,,0.577,,0.69,22.3,0.326,5.3,,,1971,all-defensive
2nd,F,John Havlicek,30.0,BOS,15.0,34.0,0.441,81.0,45.4,28.9,9.0,7.5,,,0.45,,0.818,12.5,0.164,5.9,,,1971,all-defensive
2nd,G,Jerry Sloan,28.0,CHI,13.0,34.0,0.382,80.0,39.3,18.3,8.8,3.5,,,0.441,,0.715,6.0,0.092,4.1,,,1971,all-defensive
2nd,G,Norm Van Lier,23.0,CIN,8.0,34.0,0.235,82.0,40.5,16.0,7.1,10.1,,,0.42,,0.816,6.0,0.086,3.0,,,1971,all-defensive
2nd,F,Paul Silas,27.0,PHO,7.0,34.0,0.206,81.0,36.3,11.9,12.5,3.0,,,0.428,,0.685,6.7,0.11,4.8,,,1971,all-defensive
