Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1,Michael Jordan,24,CHI,37,37,80,0.463,82,40.4,35.0,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,6.1,4.2,101,1988,dpoy
2,Mark Eaton,31,UTA,9,9,80,0.113,82,33.3,7.0,8.7,0.7,0.5,3.7,0.418,,0.623,4.1,0.072,5.2,2.0,101,1988,dpoy
3,Hakeem Olajuwon,25,HOU,7,7,80,0.088,79,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0.0,0.695,10.7,0.182,6.3,2.2,98,1988,dpoy
4,Alvin Robertson,25,SAS,6,6,80,0.075,82,36.3,19.6,6.1,6.8,3.0,0.8,0.465,0.284,0.748,5.8,0.094,2.8,1.2,109,1988,dpoy
5T,Michael Cooper,31,LAL,4,4,80,0.05,61,29.4,8.7,3.7,4.7,1.1,0.4,0.392,0.32,0.858,3.1,0.082,1.8,0.9,108,1988,dpoy
5T,Patrick Ewing,25,NYK,4,4,80,0.05,82,31.0,20.2,8.2,1.5,1.3,3.0,0.555,0.0,0.716,8.1,0.154,4.7,2.4,101,1988,dpoy
5T,Fat Lever,27,DEN,4,4,80,0.05,82,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163,4.9,2.2,103,1988,dpoy
8T,Manute Bol,25,WSB,1,1,80,0.013,77,14.8,2.3,3.6,0.2,0.1,2.7,0.455,0.0,0.531,2.0,0.085,2.1,4.5,101,1988,dpoy
8T,Maurice Cheeks,31,PHI,1,1,80,0.013,79,36.3,13.7,3.2,8.0,2.1,0.3,0.495,0.136,0.825,8.3,0.138,2.2,0.8,110,1988,dpoy
8T,Clyde Drexler,25,POR,1,1,80,0.013,81,37.8,27.0,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207,3.9,1.4,106,1988,dpoy
8T,Bob Hansen,27,UTA,1,1,80,0.013,81,22.2,9.6,2.3,2.2,0.8,0.1,0.517,0.33,0.743,4.4,0.118,2.1,0.3,107,1988,dpoy
8T,Nate McMillan,23,SEA,1,1,80,0.013,82,29.9,7.6,4.1,8.6,2.1,0.6,0.474,0.375,0.707,6.5,0.127,3.1,1.9,106,1988,dpoy
8T,Sam Perkins,26,DAL,1,1,80,0.013,75,33.3,14.2,8.0,1.6,1.0,0.7,0.45,0.167,0.822,6.7,0.128,3.0,0.0,107,1988,dpoy
8T,Paul Pressey,29,MIL,1,1,80,0.013,75,33.1,13.1,5.0,7.0,1.5,0.5,0.491,0.205,0.798,7.1,0.136,2.7,1.3,108,1988,dpoy
8T,Dennis Rodman,26,DET,1,1,80,0.013,82,26.2,11.6,8.7,1.3,0.9,0.5,0.561,0.294,0.535,6.8,0.153,3.6,0.4,103,1988,dpoy
8T,John Stockton,25,UTA,1,1,80,0.013,82,34.7,14.7,2.9,13.8,3.0,0.2,0.574,0.358,0.84,14.1,0.238,4.9,3.3,102,1988,dpoy
