# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1st,F,Dennis Rodman,30.0,DET,50.0,54.0,0.926,82.0,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183,7.0,0.9,99.0,1992,all-defensive
1st,G,Michael Jordan,28.0,CHI,49.0,54.0,0.907,80.0,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274,5.6,2.5,102.0,1992,all-defensive
1st,C,David Robinson,26.0,SAS,47.0,54.0,0.87,68.0,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26,6.9,4.6,94.0,1992,all-defensive
1st,G,Joe Dumars,28.0,DET,39.0,54.0,0.722,82.0,38.9,19.9,2.3,4.6,0.9,0.1,0.448,0.408,0.867,8.2,0.123,2.5,-0.5,110.0,1992,all-defensive
1st,F,Scottie Pippen,26.0,CHI,31.0,54.0,0.574,82.0,38.6,21.0,7.7,7.0,1.9,1.1,0.506,0.2,0.76,12.7,0.192,5.5,2.0,102.0,1992,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1992,all-defensive
2nd,F,Larry Nance,32.0,CLE,25.0,54.0,0.463,81.0,35.6,17.0,8.3,2.9,1.0,3.0,0.539,0.0,0.822,12.2,0.204,4.0,1.8,105.0,1992,all-defensive
2nd,F,Buck Williams,31.0,POR,21.0,54.0,0.389,80.0,31.5,11.3,8.8,1.4,0.8,0.5,0.604,0.0,0.754,9.2,0.175,3.8,0.5,104.0,1992,all-defensive
2nd,C,Patrick Ewing,29.0,NYK,18.0,54.0,0.333,82.0,38.4,24.0,11.2,1.9,1.1,3.0,0.522,0.167,0.738,13.0,0.198,6.9,2.2,98.0,1992,all-defensive
2nd,G,John Stockton,29.0,UTA,15.0,54.0,0.278,82.0,36.6,15.8,3.3,13.7,3.0,0.3,0.482,0.407,0.842,13.4,0.215,4.6,2.7,104.0,1992,all-defensive
2nd,G,Micheal Williams,25.0,IND,9.0,54.0,0.167,79.0,34.8,15.0,3.6,8.2,2.9,0.3,0.49,0.242,0.871,9.0,0.156,3.2,1.8,107.0,1992,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1992,all-defensive
ORV,F,Dan Majerle,26.0,PHO,13.0,54.0,0.241,82.0,34.8,17.3,5.9,3.3,1.6,0.5,0.478,0.382,0.756,9.8,0.165,3.6,0.8,106.0,1992,all-defensive
ORV,F,Horace Grant,26.0,CHI,11.0,54.0,0.204,81.0,35.3,14.2,10.0,2.7,1.2,1.6,0.578,0.0,0.741,14.1,0.237,5.0,1.4,102.0,1992,all-defensive
ORV,C,Hakeem Olajuwon,29.0,HOU,11.0,54.0,0.204,70.0,37.7,21.6,12.1,2.2,1.8,4.3,0.502,0.0,0.766,9.8,0.178,5.6,3.0,99.0,1992,all-defensive
ORV,G,Terry Porter,28.0,POR,8.0,54.0,0.148,82.0,34.0,18.1,3.1,5.8,1.5,0.1,0.461,0.395,0.856,10.6,0.182,3.5,0.6,106.0,1992,all-defensive
ORV,G,Alvin Robertson,29.0,MIL,8.0,54.0,0.148,82.0,30.0,12.3,4.3,4.4,2.6,0.4,0.43,0.319,0.763,3.6,0.071,2.7,1.5,108.0,1992,all-defensive
ORV,G,Clyde Drexler,29.0,POR,7.0,54.0,0.13,76.0,36.2,25.0,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223,4.5,1.9,103.0,1992,all-defensive
ORV,F,A.C. Green,28.0,LAL,4.0,54.0,0.074,82.0,35.4,13.6,9.3,1.4,1.1,0.4,0.476,0.214,0.744,8.8,0.145,2.9,-1.0,108.0,1992,all-defensive
ORV,G,Muggsy Bogues,27.0,CHH,3.0,54.0,0.056,82.0,34.0,8.9,2.9,9.1,2.1,0.1,0.472,0.074,0.783,4.8,0.082,1.8,0.3,112.0,1992,all-defensive
ORV,G,Derek Harper,30.0,DAL,3.0,54.0,0.056,65.0,34.6,17.7,2.6,5.7,1.6,0.3,0.443,0.312,0.759,3.5,0.075,1.2,-0.5,112.0,1992,all-defensive
ORV,C,Dikembe Mutombo,25.0,DEN,3.0,54.0,0.056,71.0,38.3,16.6,12.3,2.2,0.6,3.0,0.493,,0.642,4.8,0.086,3.6,0.6,106.0,1992,all-defensive
ORV,F,Stacey Augmon,23.0,ATL,2.0,54.0,0.037,82.0,30.5,13.3,5.1,2.5,1.5,0.3,0.489,0.167,0.666,3.7,0.071,2.2,-0.1,109.0,1992,all-defensive
ORV,G,Jeff Malone,30.0,UTA,2.0,54.0,0.037,81.0,36.1,20.2,2.9,2.2,0.7,0.1,0.511,0.083,0.898,6.6,0.108,2.1,-1.5,111.0,1992,all-defensive
ORV,F,Karl Malone,28.0,UTA,2.0,54.0,0.037,81.0,37.7,28.0,11.2,3.0,1.3,0.6,0.526,0.176,0.778,15.1,0.237,5.2,0.6,103.0,1992,all-defensive
ORV,G,Mark Price,27.0,CLE,2.0,54.0,0.037,72.0,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205,1.6,-0.4,110.0,1992,all-defensive
ORV,F,Kevin Willis,29.0,ATL,2.0,54.0,0.037,81.0,36.6,18.3,15.5,2.1,0.9,0.7,0.483,0.162,0.804,8.8,0.143,4.1,-1.4,105.0,1992,all-defensive
