Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Gene Shue,WSB,34.0,34.0,69,0.493,82,43,39,0.524,1982,coy
2,Doug Moe,DEN,13.0,13.0,69,0.188,82,46,36,0.561,1982,coy
3,Larry Brown,NJN,9.5,9.5,69,0.138,82,44,38,0.537,1982,coy
