# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,Elmore Smith,22.0,BUF,17.0,17.0,1.0,,,78.0,40.8,17.3,15.2,1.4,,,0.454,,0.534,1.5,0.022,1972,all-rookie
1st,Sidney Wicks,22.0,POR,16.0,17.0,0.941,,,82.0,39.6,24.5,11.5,4.3,,,0.427,,0.71,2.3,0.034,1972,all-rookie
1st,Austin Carr,23.0,CLE,14.0,17.0,0.824,,,43.0,35.8,21.2,3.5,3.4,,,0.426,,0.76,1.0,0.03,1972,all-rookie
1st,Phil Chenier,21.0,BAL,13.0,17.0,0.765,,,81.0,30.6,12.3,3.3,2.5,,,0.415,,0.737,1.4,0.027,1972,all-rookie
1st,Clifford Ray,23.0,CHI,7.0,17.0,0.412,,,82.0,22.8,7.0,10.6,3.1,,,0.499,,0.615,8.7,0.222,1972,all-rookie
,,,,,,,,,,,,,,,,,,,,,1972,all-rookie
ORV,Stan Love,22.0,BAL,,17.0,,,,74.0,17.9,7.9,4.6,0.7,,,0.451,,0.736,2.2,0.079,1972,all-rookie
ORV,Cliff Meely,24.0,HOU,,17.0,,,,77.0,23.6,9.9,6.6,1.5,,,0.406,,0.675,1.8,0.048,1972,all-rookie
ORV,Dean Meminger,23.0,NYK,,17.0,,,,78.0,15.0,4.6,2.4,1.3,,,0.474,,0.564,2.2,0.089,1972,all-rookie
ORV,Mike Newlin,23.0,HOU,,17.0,,,,82.0,18.2,7.6,2.8,1.6,,,0.414,,0.75,1.6,0.05,1972,all-rookie
ORV,Curtis Rowe,22.0,DET,,17.0,,,,82.0,32.5,11.3,8.5,1.2,,,0.46,,0.669,2.3,0.041,1972,all-rookie
ORV,Nate Williams,21.0,CIN,,17.0,,,,81.0,26.8,11.9,4.6,2.1,,,0.432,,0.738,0.4,0.009,1972,all-rookie
ORV,Dave Wohl,22.0,PHI,,17.0,,,,79.0,20.6,8.1,1.9,2.9,,,0.429,,0.757,2.1,0.063,1972,all-rookie
