# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,F,Larry Bird,29.0,BOS,156.0,156.0,1.0,78.0,0.0,,82.0,38.0,25.8,9.8,6.8,2.0,0.6,0.496,0.423,0.896,15.8,0.244,1986,all-nba
1st,G,Magic Johnson,26.0,LAL,148.0,156.0,0.949,72.0,4.0,,72.0,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226,1986,all-nba
1st,G,Isiah Thomas,24.0,DET,130.0,156.0,0.833,56.0,18.0,,77.0,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151,1986,all-nba
1st,F,Dominique Wilkins,26.0,ATL,113.0,156.0,0.724,41.0,31.0,,78.0,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17,1986,all-nba
1st,C,Kareem Abdul-Jabbar,38.0,LAL,101.0,156.0,0.647,39.0,23.0,,79.0,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0.0,0.765,10.8,0.197,1986,all-nba
,,,,,,,,,,,,,,,,,,,,,,,1986,all-nba
2nd,C,Hakeem Olajuwon,23.0,HOU,100.0,156.0,0.641,31.0,38.0,,68.0,36.3,23.5,11.5,2.0,2.0,3.4,0.526,,0.645,9.5,0.186,1986,all-nba
2nd,F,Charles Barkley,22.0,PHI,71.0,156.0,0.455,19.0,33.0,,80.0,36.9,20.0,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176,1986,all-nba
2nd,G,Sidney Moncrief,28.0,MIL,66.0,156.0,0.423,12.0,42.0,,73.0,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219,1986,all-nba
2nd,F,Alex English,32.0,DEN,48.0,156.0,0.308,7.0,34.0,,81.0,37.3,29.8,5.0,4.0,0.9,0.4,0.504,0.2,0.862,9.8,0.156,1986,all-nba
2nd,G,Alvin Robertson,23.0,SAS,40.0,156.0,0.256,7.0,26.0,,82.0,35.1,17.0,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143,1986,all-nba
,,,,,,,,,,,,,,,,,,,,,,,1986,all-nba
ORV,C,Moses Malone,30.0,PHI,32.0,156.0,0.205,8.0,16.0,,74.0,36.6,23.8,11.8,1.2,0.9,1.0,0.458,0.0,0.787,8.9,0.157,1986,all-nba
ORV,G,Dennis Johnson,31.0,BOS,29.0,156.0,0.186,7.0,15.0,,78.0,35.0,15.6,3.4,5.8,1.4,0.4,0.455,0.143,0.818,6.7,0.118,1986,all-nba
ORV,G,Maurice Cheeks,29.0,PHI,28.0,156.0,0.179,2.0,24.0,,82.0,39.9,15.4,2.9,9.2,2.5,0.3,0.537,0.235,0.842,10.6,0.155,1986,all-nba
ORV,F,Kevin McHale,28.0,BOS,26.0,156.0,0.167,1.0,24.0,,68.0,35.3,21.3,8.1,2.7,0.4,2.0,0.574,,0.776,11.0,0.22,1986,all-nba
ORV,F,James Worthy,24.0,LAL,24.0,156.0,0.154,5.0,14.0,,75.0,32.7,20.0,5.2,2.7,1.1,1.0,0.579,0.0,0.771,9.5,0.185,1986,all-nba
ORV,F,Ralph Sampson,25.0,HOU,16.0,156.0,0.103,3.0,10.0,,79.0,36.3,18.9,11.1,3.6,1.3,1.6,0.488,0.133,0.641,5.0,0.084,1986,all-nba
ORV,G,Rolando Blackman,26.0,DAL,16.0,156.0,0.103,0.0,16.0,,82.0,34.0,21.5,3.5,3.3,1.0,0.3,0.514,0.138,0.836,7.0,0.121,1986,all-nba
ORV,F,Buck Williams,25.0,NJN,6.0,156.0,0.038,1.0,4.0,,82.0,37.4,15.9,12.0,1.6,0.9,1.2,0.523,0.0,0.676,6.8,0.106,1986,all-nba
ORV,F,Terry Cummings,24.0,MIL,5.0,156.0,0.032,0.0,5.0,,82.0,32.5,19.8,8.5,2.4,1.5,0.6,0.474,0.0,0.656,7.4,0.133,1986,all-nba
ORV,F,Adrian Dantley,30.0,UTA,4.0,156.0,0.026,1.0,2.0,,76.0,36.1,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,12.8,0.223,1986,all-nba
ORV,G,Jeff Malone,24.0,WSB,4.0,156.0,0.026,0.0,4.0,,80.0,37.4,22.4,3.6,2.4,0.9,0.2,0.483,0.176,0.868,6.1,0.098,1986,all-nba
ORV,G,Walter Davis,31.0,PHO,2.0,156.0,0.013,0.0,2.0,,70.0,32.0,21.8,2.9,5.2,1.4,0.0,0.485,0.237,0.843,4.2,0.091,1986,all-nba
ORV,G,Clyde Drexler,23.0,POR,1.0,156.0,0.006,0.0,1.0,,75.0,34.3,18.5,5.6,8.0,2.6,0.6,0.475,0.2,0.769,6.7,0.124,1986,all-nba
ORV,F,Marques Johnson,29.0,LAC,1.0,156.0,0.006,0.0,1.0,,75.0,34.7,20.3,5.5,3.8,1.4,0.7,0.51,0.067,0.76,5.9,0.108,1986,all-nba
ORV,C,Robert Parish,32.0,BOS,1.0,156.0,0.006,0.0,1.0,,81.0,31.7,16.1,9.5,1.8,0.8,1.4,0.549,,0.731,9.2,0.171,1986,all-nba
ORV,G,Paul Pressey,27.0,MIL,1.0,156.0,0.006,0.0,1.0,,80.0,33.8,14.3,5.0,7.8,2.1,0.9,0.488,0.182,0.806,9.8,0.174,1986,all-nba
ORV,G,Reggie Theus,28.0,SAC,1.0,156.0,0.006,0.0,1.0,,82.0,35.6,18.3,3.7,9.6,1.4,0.2,0.48,0.171,0.827,6.4,0.105,1986,all-nba
