# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1st,G,Dennis Johnson,25.0,SEA,43.0,44.0,0.977,81.0,36.3,19.0,5.1,4.1,1.8,1.0,0.422,0.207,0.78,7.4,0.12,4.4,0.8,102.0,1980,all-defensive
1st,F,Bobby Jones,28.0,PHI,33.0,44.0,0.75,81.0,26.2,13.0,5.6,1.8,1.3,1.5,0.532,0.0,0.781,8.1,0.183,3.8,1.9,99.0,1980,all-defensive
1st,C,Kareem Abdul-Jabbar,32.0,LAL,26.0,44.0,0.591,82.0,38.3,24.8,10.8,4.5,1.0,3.4,0.604,0.0,0.765,14.8,0.227,5.3,2.4,100.0,1980,all-defensive
1st,F,Dan Roundfield,26.0,ATL,25.0,44.0,0.568,81.0,32.0,16.5,10.3,2.3,1.2,1.7,0.499,0.0,0.71,9.1,0.169,5.1,1.4,98.0,1980,all-defensive
1st,G,Don Buse,29.0,PHO,17.0,44.0,0.386,81.0,30.9,7.7,2.9,4.0,1.6,0.1,0.443,0.241,0.664,4.6,0.088,2.9,1.2,104.0,1980,all-defensive
1st,G,Micheal Ray Richardson,24.0,NYK,17.0,44.0,0.386,82.0,37.3,15.3,6.6,10.1,3.2,0.4,0.472,0.245,0.66,6.0,0.094,3.7,1.3,104.0,1980,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1980,all-defensive
2nd,F,Kermit Washington,28.0,POR,14.0,44.0,0.318,80.0,33.2,13.4,10.5,2.1,0.9,1.6,0.553,0.0,0.642,9.1,0.165,4.0,0.6,102.0,1980,all-defensive
2nd,F,Scott Wedman,27.0,KCK,14.0,44.0,0.318,68.0,34.5,19.0,5.7,2.1,1.2,0.7,0.512,0.318,0.801,7.1,0.145,3.4,0.5,102.0,1980,all-defensive
2nd,G,Quinn Buckner,25.0,MIL,11.0,44.0,0.25,67.0,25.2,10.7,3.6,5.7,2.0,0.1,0.467,0.4,0.734,4.4,0.125,2.7,1.9,101.0,1980,all-defensive
2nd,G,Eddie Johnson,24.0,ATL,9.0,44.0,0.205,79.0,33.2,18.5,2.5,4.7,1.5,0.3,0.487,0.385,0.828,8.2,0.15,2.7,0.3,105.0,1980,all-defensive
2nd,C,Dave Cowens,31.0,BOS,7.0,44.0,0.159,66.0,32.7,14.2,8.1,3.1,1.0,0.9,0.453,0.083,0.779,5.4,0.121,3.6,1.1,100.0,1980,all-defensive
