Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,De'Aaron Fox,25,SAC,91,460,500,0.92,73,33.4,25.0,4.2,6.1,1.1,0.3,0.512,0.324,0.78,7.4,0.146,2023,clutch player
2,Jimmy Butler,33,MIA,1,104,500,0.208,64,33.4,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85,12.3,0.277,2023,clutch player
3,DeMar DeRozan,33,CHI,0,80,500,0.16,74,36.2,24.5,4.6,5.1,1.1,0.5,0.504,0.324,0.872,8.5,0.153,2023,clutch player
4,Jalen Brunson,26,NYK,1,77,500,0.154,68,35.0,24.0,3.5,6.2,0.9,0.2,0.491,0.416,0.829,8.7,0.175,2023,clutch player
5,Joel Embiid,28,PHI,1,51,500,0.102,66,34.6,33.1,10.2,4.2,1.0,1.7,0.548,0.33,0.857,12.3,0.259,2023,clutch player
6,Donovan Mitchell,26,CLE,1,32,500,0.064,68,35.8,28.3,4.3,4.4,1.5,0.4,0.484,0.386,0.867,8.9,0.176,2023,clutch player
7,Shai Gilgeous-Alexander,24,OKC,1,31,500,0.062,68,35.5,31.4,4.8,5.5,1.6,1.0,0.51,0.345,0.905,11.4,0.226,2023,clutch player
8,Luka Dončić,23,DAL,1,17,500,0.034,66,36.2,32.4,8.6,8.0,1.4,0.5,0.496,0.342,0.742,10.2,0.204,2023,clutch player
9,Stephen Curry,34,GSW,2,15,500,0.03,56,34.7,29.4,6.1,6.3,0.9,0.4,0.493,0.427,0.915,7.8,0.192,2023,clutch player
10T,Damian Lillard,32,POR,0,10,500,0.02,58,36.3,32.2,4.8,7.3,0.9,0.3,0.463,0.371,0.914,9.0,0.205,2023,clutch player
10T,Jayson Tatum,24,BOS,0,10,500,0.02,74,36.9,30.1,8.8,4.6,1.1,0.7,0.466,0.35,0.854,10.5,0.185,2023,clutch player
12,Kyrie Irving,30,TOT,1,7,500,0.014,60,37.4,27.1,5.1,5.5,1.1,0.8,0.494,0.379,0.905,7.4,0.159,2023,clutch player
13,Nikola Jokić,27,DEN,0,5,500,0.01,69,33.7,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.822,14.9,0.308,2023,clutch player
14,Julius Randle,28,NYK,0,1,500,0.002,77,35.5,25.1,10.0,4.1,0.6,0.3,0.459,0.343,0.757,8.1,0.142,2023,clutch player
