Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Bill Russell,26,BOS,35,213,380,0.561,78,44.3,16.9,23.9,3.4,,,0.426,,0.55,13.0,0.181,1961,mvp
2,Bob Pettit,28,STL,14,125,380,0.329,76,39.8,27.9,20.3,3.4,,,0.447,,0.724,14.9,0.237,1961,mvp
3,Elgin Baylor,26,LAL,10,116,380,0.305,73,42.9,34.8,19.8,5.1,,,0.43,,0.783,14.8,0.227,1961,mvp
4,Wilt Chamberlain,24,PHW,3,81,380,0.213,79,47.8,38.4,27.2,1.9,,,0.509,,0.504,18.8,0.24,1961,mvp
5,Oscar Robertson,22,CIN,7,70,380,0.184,71,42.7,30.5,10.1,9.7,,,0.473,,0.822,13.2,0.21,1961,mvp
6,Bob Cousy,32,BOS,2,17,380,0.045,76,32.5,18.1,4.4,7.7,,,0.371,,0.779,7.2,0.14,1961,mvp
7,Tom Heinsohn,26,BOS,3,15,380,0.039,74,30.5,21.3,9.9,1.9,,,0.4,,0.767,6.6,0.141,1961,mvp
8,Dolph Schayes,32,SYR,1,12,380,0.032,79,38.1,23.6,12.2,3.7,,,0.372,,0.868,8.5,0.136,1961,mvp
9,Bailey Howell,24,DET,1,9,380,0.024,77,38.3,23.6,14.4,2.5,,,0.469,,0.753,11.7,0.19,1961,mvp
10,Gene Shue,29,DET,0,8,380,0.021,78,43.1,22.6,4.3,6.8,,,0.421,,0.856,7.6,0.108,1961,mvp
11,Jack Twyman,26,CIN,0,6,380,0.016,79,37.0,25.3,8.5,2.8,,,0.488,,0.731,9.6,0.157,1961,mvp
12,Jerry West,22,LAL,1,5,380,0.013,79,35.4,17.6,7.7,4.2,,,0.419,,0.666,6.6,0.113,1961,mvp
13,Clyde Lovellette,31,STL,0,4,380,0.011,67,31.5,22.0,10.1,2.6,,,0.453,,0.83,8.5,0.193,1961,mvp
14,Cliff Hagan,29,STL,0,3,380,0.008,77,35.1,22.1,9.3,4.9,,,0.444,,0.82,10.8,0.193,1961,mvp
15,Richie Guerin,28,NYK,0,2,380,0.005,79,38.3,21.8,7.9,6.4,,,0.396,,0.792,5.4,0.086,1961,mvp
16T,Paul Arizin,32,PHW,0,1,380,0.003,79,37.2,23.2,8.6,2.4,,,0.425,,0.833,9.7,0.159,1961,mvp
16T,Willie Naulls,26,NYK,0,1,380,0.003,79,37.7,23.4,13.4,2.4,,,0.428,,0.816,5.7,0.092,1961,mvp
16T,Kenny Sears,27,NYK,0,1,380,0.003,52,26.8,14.4,5.6,2.0,,,0.424,,0.825,4.0,0.138,1961,mvp
