Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Derrick Rose,20,CHI,111,574,600,0.957,81,37.0,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.788,4.9,0.078,2009,roy
2,O.J. Mayo,21,MEM,5,246,600,0.41,82,38.0,18.5,3.8,3.2,1.1,0.2,0.438,0.384,0.879,3.4,0.052,2009,roy
3,Brook Lopez,20,NJN,2,127,600,0.212,82,30.5,13.0,8.1,1.0,0.5,1.8,0.531,0.0,0.793,5.8,0.112,2009,roy
4,Russell Westbrook,20,OKC,2,73,600,0.122,82,32.5,15.3,4.9,5.3,1.3,0.2,0.398,0.271,0.815,1.9,0.035,2009,roy
5,Eric Gordon,20,LAC,0,22,600,0.037,78,34.3,16.1,2.6,2.8,1.0,0.4,0.456,0.389,0.854,4.6,0.082,2009,roy
6,Kevin Love,20,MIN,0,16,600,0.027,81,25.3,11.1,9.1,1.0,0.4,0.6,0.459,0.105,0.789,5.3,0.124,2009,roy
7,Michael Beasley,20,MIA,0,7,600,0.012,81,24.8,13.9,5.4,1.0,0.5,0.5,0.472,0.407,0.772,3.4,0.081,2009,roy
8,Marc Gasol,24,MEM,0,4,600,0.007,82,30.7,11.9,7.4,1.7,0.8,1.1,0.53,0.0,0.733,6.4,0.121,2009,roy
9T,Rudy Fernández,23,POR,0,3,600,0.005,78,25.6,10.4,2.7,2.0,0.9,0.2,0.425,0.399,0.839,6.1,0.147,2009,roy
9T,Robin Lopez,20,PHO,0,3,600,0.005,60,10.2,3.2,2.0,0.1,0.2,0.7,0.518,0.0,0.691,1.1,0.083,2009,roy
11T,Mario Chalmers,22,MIA,0,2,600,0.003,82,32.0,10.0,2.8,4.9,2.0,0.1,0.42,0.367,0.767,5.2,0.095,2009,roy
11T,Courtney Lee,23,ORL,0,2,600,0.003,77,25.2,8.4,2.3,1.2,1.0,0.2,0.45,0.404,0.83,4.4,0.108,2009,roy
13,Nicolas Batum,20,POR,0,1,600,0.002,79,18.4,5.4,2.8,0.9,0.6,0.5,0.446,0.369,0.808,3.7,0.123,2009,roy
