Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Pervis Ellison,24,WSB,40,40,96,0.417,66,38.0,20.0,11.2,2.9,0.9,2.7,0.539,0.333,0.728,6.9,0.131,1992,mip
2,Dražen Petrović,27,NJN,22,22,96,0.229,82,36.9,20.6,3.1,3.1,1.3,0.1,0.508,0.444,0.808,7.7,0.122,1992,mip
3,Kevin Willis,29,ATL,12,12,96,0.125,81,36.6,18.3,15.5,2.1,0.9,0.7,0.483,0.162,0.804,8.8,0.143,1992,mip
4T,Glen Rice,24,MIA,4,4,96,0.042,79,38.1,22.3,5.0,2.3,1.1,0.4,0.469,0.391,0.836,7.9,0.126,1992,mip
4T,Reggie Williams,27,DEN,4,4,96,0.042,81,32.4,18.2,5.0,2.9,1.8,0.8,0.471,0.359,0.803,6.6,0.121,1992,mip
6T,Tim Perry,26,PHO,3,3,96,0.031,80,31.0,12.3,6.9,1.7,0.6,1.5,0.523,0.375,0.712,5.7,0.11,1992,mip
6T,John Starks,26,NYK,3,3,96,0.031,82,25.8,13.9,2.3,3.4,1.3,0.2,0.449,0.348,0.778,6.4,0.146,1992,mip
8T,Kendall Gill,23,CHH,2,2,96,0.021,79,36.8,20.5,5.1,4.2,1.9,0.6,0.467,0.24,0.745,4.7,0.077,1992,mip
8T,Grant Long,25,MIA,2,2,96,0.021,82,37.4,14.8,8.4,2.7,1.7,0.5,0.494,0.273,0.807,7.7,0.12,1992,mip
8T,Šarūnas Marčiulionis,27,GSW,2,2,96,0.021,72,29.4,18.9,2.9,3.4,1.6,0.1,0.538,0.3,0.788,6.4,0.144,1992,mip
11T,Mookie Blaylock,24,NJN,1,1,96,0.01,72,35.4,13.8,3.7,6.8,2.4,0.6,0.432,0.222,0.712,4.9,0.092,1992,mip
11T,Micheal Williams,25,IND,1,1,96,0.01,79,34.8,15.0,3.6,8.2,2.9,0.3,0.49,0.242,0.871,9.0,0.156,1992,mip
