Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Jamal Crawford,33,LAC,57,421,625,0.674,69,30.3,18.6,2.3,3.2,0.9,0.2,0.416,0.361,0.866,5.3,0.122,2014,6moy
2,Taj Gibson,28,CHI,49,395,625,0.632,82,28.7,13.0,6.8,1.1,0.5,1.4,0.479,0.0,0.751,5.7,0.117,2014,6moy
3,Manu Ginóbili,36,SAS,9,138,625,0.221,68,22.8,12.3,3.0,4.3,1.0,0.3,0.469,0.349,0.851,5.7,0.176,2014,6moy
4,Markieff Morris,24,PHO,5,85,625,0.136,81,26.6,13.8,6.0,1.8,0.8,0.6,0.486,0.315,0.792,6.4,0.143,2014,6moy
5,Reggie Jackson,23,OKC,4,49,625,0.078,80,28.5,13.1,3.9,4.1,1.1,0.1,0.44,0.339,0.893,4.9,0.104,2014,6moy
6,Vince Carter,37,DAL,1,12,625,0.019,81,24.4,11.9,3.5,2.6,0.8,0.4,0.407,0.394,0.821,4.3,0.105,2014,6moy
7,D.J. Augustin,26,TOT,0,6,625,0.01,71,27.3,13.1,1.8,4.4,0.7,0.0,0.415,0.401,0.885,6.2,0.154,2014,6moy
8T,Enes Freedom,21,UTA,0,3,625,0.005,80,26.7,12.3,7.5,0.9,0.4,0.5,0.491,0.0,0.73,2.2,0.05,2014,6moy
8T,Dion Waiters,22,CLE,0,3,625,0.005,70,29.6,15.9,2.8,3.0,0.9,0.2,0.433,0.368,0.685,1.6,0.037,2014,6moy
8T,Nick Young,28,LAL,0,3,625,0.005,64,28.3,17.9,2.6,1.5,0.7,0.2,0.435,0.386,0.825,2.5,0.067,2014,6moy
11T,Chris Andersen,35,MIA,0,2,625,0.003,72,19.4,6.6,5.3,0.3,0.4,1.3,0.644,0.25,0.71,6.0,0.205,2014,6moy
11T,Marco Belinelli,27,SAS,0,2,625,0.003,80,25.2,11.4,2.8,2.2,0.6,0.1,0.485,0.43,0.847,5.9,0.14,2014,6moy
13T,Andray Blatche,27,BRK,0,1,625,0.002,73,22.2,11.2,5.3,1.5,1.0,0.5,0.476,0.278,0.742,3.7,0.109,2014,6moy
13T,Tim Hardaway Jr.,21,NYK,0,1,625,0.002,81,23.1,10.2,1.5,0.8,0.5,0.1,0.428,0.363,0.828,3.1,0.08,2014,6moy
13T,Patty Mills,25,SAS,0,1,625,0.002,81,18.9,10.2,2.1,1.8,0.8,0.1,0.464,0.425,0.89,5.6,0.175,2014,6moy
13T,Timofey Mozgov,27,DEN,0,1,625,0.002,82,21.6,9.4,6.4,0.8,0.3,1.2,0.523,0.167,0.754,4.5,0.123,2014,6moy
13T,Greivis Vásquez,27,TOT,0,1,625,0.002,79,22.5,9.6,2.2,4.1,0.4,0.1,0.421,0.377,0.88,3.6,0.097,2014,6moy
13T,Mo Williams,31,POR,0,1,625,0.002,74,24.8,9.7,2.1,4.3,0.7,0.1,0.417,0.369,0.876,2.2,0.056,2014,6moy
