Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Bobby Jackson,29,SAC,52,362,590,0.614,59,28.4,15.2,3.7,3.1,1.2,0.1,0.464,0.379,0.846,5.5,0.157,2003,6moy
2,Michael Redd,23,MIL,33,257,590,0.436,82,28.2,15.1,4.5,1.4,1.2,0.2,0.469,0.438,0.805,8.0,0.167,2003,6moy
3,Andrei Kirilenko,21,UTA,10,127,590,0.215,80,27.7,12.0,5.3,1.7,1.5,2.2,0.491,0.325,0.8,9.2,0.199,2003,6moy
4,Nick Van Exel,31,DAL,8,115,590,0.195,73,27.8,12.5,2.8,4.3,0.6,0.1,0.412,0.378,0.764,4.0,0.094,2003,6moy
5,Corliss Williamson,29,DET,5,87,590,0.147,82,25.1,12.0,4.4,1.3,0.5,0.3,0.453,0.182,0.79,4.9,0.115,2003,6moy
6,Malik Rose,28,SAS,6,57,590,0.097,79,24.5,10.4,6.4,1.6,0.7,0.5,0.459,0.4,0.791,5.2,0.13,2003,6moy
7,Earl Boykins,26,GSW,4,42,590,0.071,68,19.4,8.8,1.3,3.3,0.6,0.1,0.429,0.377,0.865,3.5,0.127,2003,6moy
8,Al Harrington,22,IND,0,7,590,0.012,82,30.1,12.2,6.2,1.5,0.9,0.4,0.434,0.283,0.77,3.9,0.075,2003,6moy
9,Jon Barry,33,DET,0,4,590,0.007,80,18.4,6.9,2.3,2.6,0.8,0.2,0.45,0.407,0.86,5.6,0.183,2003,6moy
10,Toni Kukoč,34,MIL,0,3,590,0.005,63,27.0,11.6,4.2,3.7,1.3,0.5,0.432,0.361,0.706,4.0,0.112,2003,6moy
11T,Keon Clark,27,SAC,0,1,590,0.002,80,22.3,6.7,5.6,1.0,0.5,1.9,0.501,0.0,0.656,4.7,0.127,2003,6moy
11T,Lucious Harris,32,NJN,0,1,590,0.002,77,25.6,10.3,3.0,2.0,0.7,0.1,0.413,0.346,0.804,4.7,0.114,2003,6moy
11T,Joe Johnson,21,PHO,0,1,590,0.002,82,27.5,9.8,3.2,2.6,0.8,0.2,0.397,0.366,0.774,2.8,0.06,2003,6moy
