Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Isaac Austin,27,MIA,41,41,115,0.357,82,22.9,9.7,5.8,1.2,0.5,0.5,0.502,0.0,0.664,4.0,0.102,1997,mip
2,Doug Christie,26,TOR,17,17,115,0.148,81,38.6,14.5,5.3,3.9,2.5,0.6,0.417,0.384,0.775,7.0,0.107,1997,mip
3,Rasheed Wallace,22,POR,13,13,115,0.113,62,30.5,15.1,6.8,1.2,0.8,1.0,0.558,0.273,0.638,6.4,0.163,1997,mip
4,Voshon Lenard,23,MIA,9,9,115,0.078,73,28.9,12.3,3.0,2.2,0.7,0.2,0.459,0.414,0.819,6.8,0.155,1997,mip
5T,Kendall Gill,28,NJN,7,7,115,0.061,82,39.0,21.8,6.1,4.0,1.9,0.6,0.443,0.336,0.797,8.8,0.132,1997,mip
5T,Glen Rice,29,CHH,7,7,115,0.061,79,42.6,26.8,4.0,2.0,0.9,0.3,0.477,0.47,0.867,10.8,0.154,1997,mip
7,Lindsey Hunter,26,DET,5,5,115,0.043,82,36.9,14.2,2.8,1.9,1.6,0.3,0.404,0.355,0.778,6.4,0.101,1997,mip
8,Kevin Garnett,20,MIN,4,4,115,0.035,77,38.9,17.0,8.0,3.1,1.4,2.1,0.499,0.286,0.754,7.3,0.116,1997,mip
9T,LaPhonso Ellis,26,DEN,3,3,115,0.026,55,36.4,21.9,7.0,2.4,0.8,0.7,0.439,0.367,0.773,3.6,0.087,1997,mip
9T,Tom Gugliotta,27,MIN,3,3,115,0.026,81,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,0.103,1997,mip
11,David Wesley,26,BOS,2,2,115,0.017,74,40.4,16.8,3.6,7.3,2.2,0.2,0.468,0.36,0.781,6.1,0.097,1997,mip
12T,Tim Hardaway,30,MIA,1,1,115,0.009,81,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,0.198,1997,mip
12T,Eddie Jones,25,LAL,1,1,115,0.009,80,37.5,17.2,4.1,3.4,2.4,0.6,0.438,0.391,0.819,9.6,0.154,1997,mip
12T,Rony Seikaly,31,ORL,1,1,115,0.009,74,35.3,17.3,9.5,1.2,0.7,1.4,0.507,0.0,0.714,6.8,0.125,1997,mip
12T,Monty Williams,25,SAS,1,1,115,0.009,65,20.7,9.0,3.2,1.4,0.8,0.8,0.509,0.0,0.645,1.2,0.042,1997,mip
