# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,C,Shaquille O'Neal,32.0,MIA,616.0,620.0,0.994,122.0,,,73.0,34.1,22.9,10.4,2.7,0.5,2.3,0.601,,0.461,11.0,0.211,2005,all-nba
1st,G,Steve Nash,30.0,PHO,606.0,620.0,0.977,118.0,,,75.0,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9,0.203,2005,all-nba
1st,F,Tim Duncan,28.0,SAS,553.0,620.0,0.892,95.0,,,66.0,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,2005,all-nba
1st,F,Dirk Nowitzki,26.0,DAL,510.0,620.0,0.823,75.0,,,78.0,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,2005,all-nba
1st,G,Allen Iverson,29.0,PHI,498.0,620.0,0.803,69.0,,,75.0,42.3,30.7,4.0,7.9,2.4,0.1,0.424,0.308,0.835,9.0,0.136,2005,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2005,all-nba
2nd,F,LeBron James,20.0,CLE,421.0,620.0,0.679,45.0,,,80.0,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203,2005,all-nba
2nd,G,Dwyane Wade,23.0,MIA,417.0,620.0,0.673,35.0,,,77.0,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177,2005,all-nba
2nd,F,Kevin Garnett,28.0,MIN,408.0,620.0,0.658,34.0,,,82.0,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248,2005,all-nba
2nd,C,Amar'e Stoudemire,22.0,PHO,367.0,620.0,0.592,9.0,,,80.0,36.1,26.0,8.9,1.6,1.0,1.6,0.559,0.188,0.733,14.6,0.243,2005,all-nba
2nd,G,Ray Allen,29.0,SEA,177.0,620.0,0.285,1.0,,,78.0,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168,2005,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2005,all-nba
3rd,F,Tracy McGrady,25.0,HOU,264.0,620.0,0.426,15.0,,,78.0,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12.0,0.18,2005,all-nba
3rd,F,Shawn Marion,26.0,PHO,134.0,620.0,0.216,0.0,,,81.0,38.8,19.4,11.3,1.9,2.0,1.5,0.476,0.334,0.833,12.5,0.191,2005,all-nba
3rd,G,Kobe Bryant,26.0,LAL,108.0,620.0,0.174,1.0,,,66.0,40.7,27.6,5.9,6.0,1.3,0.8,0.433,0.339,0.816,8.1,0.145,2005,all-nba
3rd,C,Ben Wallace,30.0,DET,105.0,620.0,0.169,0.0,,,74.0,36.1,9.7,12.2,1.7,1.4,2.4,0.453,0.111,0.428,8.5,0.153,2005,all-nba
3rd,G,Gilbert Arenas,23.0,WAS,104.0,620.0,0.168,1.0,,,80.0,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169,2005,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2005,all-nba
ORV,C,Yao Ming,24.0,HOU,82.0,620.0,0.132,0.0,,,80.0,30.6,18.3,8.4,0.8,0.4,2.0,0.552,,0.783,10.7,0.21,2005,all-nba
ORV,F,Vince Carter,28.0,TOT,63.0,620.0,0.102,0.0,,,77.0,36.7,24.5,5.2,4.2,1.4,0.6,0.452,0.406,0.798,9.4,0.159,2005,all-nba
ORV,G,Jason Kidd,31.0,NJN,16.0,620.0,0.026,0.0,,,66.0,36.9,14.4,7.4,8.3,1.9,0.1,0.398,0.36,0.74,7.2,0.143,2005,all-nba
