Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Gregg Popovich,SAS,40,281,585,0.48,82,60,22,0.732,2003,coy
2,Eric Musselman,GSW,26,231,585,0.395,82,38,44,0.463,2003,coy
3,Jerry Sloan,UTA,18,143,585,0.244,82,47,35,0.573,2003,coy
4,Rick Carlisle,DET,8,117,585,0.2,82,50,32,0.61,2003,coy
5,Rick Adelman,SAC,8,71,585,0.121,82,59,23,0.72,2003,coy
6,Flip Saunders,MIN,5,57,585,0.097,82,51,31,0.622,2003,coy
7,Hubie Brown,MEM,5,47,585,0.08,74,28,46,0.378,2003,coy
8,Don Nelson,DAL,3,32,585,0.055,82,60,22,0.732,2003,coy
9,Larry Brown,PHI,3,30,585,0.051,82,48,34,0.585,2003,coy
10,Maurice Cheeks,POR,2,23,585,0.039,82,50,32,0.61,2003,coy
11,Frank Johnson,PHO,1,22,585,0.038,82,44,38,0.537,2003,coy
12,Paul Silas,NOH,1,17,585,0.029,82,47,35,0.573,2003,coy
13,Byron Scott,NJN,1,8,585,0.014,82,49,33,0.598,2003,coy
14,Phil Jackson,LAL,0,4,585,0.007,82,50,32,0.61,2003,coy
15T,Isiah Thomas,IND,0,3,585,0.005,82,48,34,0.585,2003,coy
15T,Rudy Tomjanovich,HOU,0,3,585,0.005,82,43,39,0.524,2003,coy
