Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Steve Kerr,GSW,64,381,650,0.586,82,73,9,0.89,2016,coy
2,Terry Stotts,POR,37,335,650,0.515,82,44,38,0.537,2016,coy
3,Gregg Popovich,SAS,10,166,650,0.255,82,67,15,0.817,2016,coy
4,Steve Clifford,CHO,7,98,650,0.151,82,48,34,0.585,2016,coy
5,Dwane Casey,TOR,6,83,650,0.128,82,56,26,0.683,2016,coy
6,Brad Stevens,BOS,5,74,650,0.114,82,48,34,0.585,2016,coy
7,Dave Joerger,MEM,1,11,650,0.017,82,42,40,0.512,2016,coy
8T,Doc Rivers,LAC,0,5,650,0.008,82,53,29,0.646,2016,coy
10,Erik Spoelstra,MIA,0,4,650,0.006,82,48,34,0.585,2016,coy
11T,Rick Carlisle,DAL,0,3,650,0.005,82,42,40,0.512,2016,coy
11T,Quin Snyder,UTA,0,3,650,0.005,82,40,42,0.488,2016,coy
13T,Mike Budenholzer,ATL,0,1,650,0.002,82,48,34,0.585,2016,coy
13T,Billy Donovan,OKC,0,1,650,0.002,82,55,27,0.671,2016,coy
