Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Larry Bird,IND,50,50,116,0.431,82,58,24,0.707,1998,coy
2,Jerry Sloan,UTA,29,29,116,0.25,82,62,20,0.756,1998,coy
3,Mike Fratello,CLE,15,15,116,0.129,82,47,35,0.573,1998,coy
4,Pat Riley,MIA,5,5,116,0.043,82,55,27,0.671,1998,coy
5T,Danny Ainge,PHO,4,4,116,0.034,82,56,26,0.683,1998,coy
5T,George Karl,SEA,4,4,116,0.034,82,61,21,0.744,1998,coy
7T,Phil Jackson,CHI,3,3,116,0.026,82,62,20,0.756,1998,coy
7T,Rick Pitino,BOS,3,3,116,0.026,82,36,46,0.439,1998,coy
9T,John Calipari,NJN,1,1,116,0.009,82,43,39,0.524,1998,coy
9T,Chuck Daly,ORL,1,1,116,0.009,82,41,41,0.5,1998,coy
9T,Jeff Van Gundy,NYK,1,1,116,0.009,82,43,39,0.524,1998,coy
