Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1,Alvin Robertson,23,SAS,27,27,78,0.346,82,35.1,17.0,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143,4.6,3.3,103,1986,dpoy
2,Manute Bol,23,WSB,22,22,78,0.282,80,26.1,3.7,6.0,0.3,0.4,5.0,0.46,0.0,0.488,3.9,0.089,4.2,4.7,99,1986,dpoy
3,Sidney Moncrief,28,MIL,8,8,78,0.103,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219,3.4,0.7,105,1986,dpoy
