Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Doug Moe,DEN,41,41,80,0.513,82,54,28,0.659,1988,coy
2,Pat Riley,LAL,25,25,80,0.313,82,62,20,0.756,1988,coy
3T,Doug Collins,CHI,5,5,80,0.063,82,50,32,0.61,1988,coy
3T,Mike Schuler,POR,5,5,80,0.063,82,53,29,0.646,1988,coy
5,Rick Pitino,NYK,2,2,80,0.025,82,38,44,0.463,1988,coy
6T,K.C. Jones,BOS,1,1,80,0.013,82,57,25,0.695,1988,coy
6T,Lenny Wilkens,CLE,1,1,80,0.013,82,42,40,0.512,1988,coy
