Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Bill Russell,28,BOS,56,341,505,0.675,78,44.9,16.8,23.6,4.5,,,0.432,,0.555,13.5,0.185,1963,mvp
2,Elgin Baylor,28,LAL,19,221,505,0.438,80,42.1,34.0,14.3,4.8,,,0.453,,0.837,14.4,0.205,1963,mvp
3,Oscar Robertson,24,CIN,19,191,505,0.378,80,44.0,28.3,10.4,9.5,,,0.518,,0.81,16.8,0.229,1963,mvp
4,Bob Pettit,30,STL,3,84,505,0.166,79,39.1,28.4,15.1,3.1,,,0.446,,0.774,14.3,0.222,1963,mvp
5,Jerry West,24,LAL,2,19,505,0.038,55,39.3,27.1,7.0,5.6,,,0.461,,0.778,8.1,0.18,1963,mvp
6,Red Kerr,30,SYR,1,13,505,0.026,80,32.0,15.7,13.0,2.7,,,0.474,,0.753,7.7,0.144,1963,mvp
7,Wilt Chamberlain,26,SFW,0,9,505,0.018,80,47.6,44.8,24.3,3.4,,,0.528,,0.593,20.9,0.264,1963,mvp
8T,Terry Dischinger,22,CHZ,1,5,505,0.01,57,40.2,25.5,8.0,3.1,,,0.512,,0.77,9.2,0.192,1963,mvp
8T,Bob Cousy,34,BOS,0,5,505,0.01,76,26.0,13.2,2.5,6.8,,,0.397,,0.735,5.2,0.126,1963,mvp
10,John Havlicek,22,BOS,0,3,505,0.006,80,27.5,14.3,6.7,2.2,,,0.445,,0.728,6.4,0.139,1963,mvp
11T,John Barnhill,24,STL,0,1,505,0.002,77,35.0,11.7,4.7,4.2,,,0.43,,0.71,4.6,0.082,1963,mvp
11T,Walt Bellamy,23,CHZ,0,1,505,0.002,80,41.3,27.9,16.4,2.9,,,0.527,,0.674,13.7,0.199,1963,mvp
