Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Doc Rivers,ORL,60,60,121,0.496,82,41,41,0.5,2000,coy
2,Phil Jackson,LAL,53,53,121,0.438,82,67,15,0.817,2000,coy
3,Paul Silas,CHH,3,3,121,0.025,82,49,33,0.598,2000,coy
4,Jerry Sloan,UTA,2,2,121,0.017,82,55,27,0.671,2000,coy
5T,Butch Carter,TOR,1,1,121,0.008,82,45,37,0.549,2000,coy
5T,Pat Riley,MIA,1,1,121,0.008,82,52,30,0.634,2000,coy
5T,Scott Skiles,PHO,1,1,121,0.008,62,40,22,0.645,2000,coy
