Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Jamaal Wilkes,21,GSW,7.6,7.6,18,0.422,82,30.7,14.2,8.2,2.2,1.3,0.3,0.442,,0.734,5.1,0.097,1975,nbaroy
2,John Drew,20,ATL,5.1,5.1,18,0.283,78,29.3,18.5,10.7,1.8,1.5,0.5,0.428,,0.713,7.1,0.149,1975,nbaroy
3,Scott Wedman,22,KCO,3.8,3.8,18,0.211,80,31.9,11.1,6.1,1.6,1.0,0.3,0.465,,0.818,4.8,0.091,1975,nbaroy
4,Leonard Gray,23,SEA,1.2,1.2,18,0.067,75,30.4,11.5,6.4,2.2,0.8,0.3,0.489,,0.722,4.0,0.084,1975,nbaroy
5,Mike Sojourner,21,ATL,0.3,0.3,18,0.017,73,29.2,11.7,8.8,1.3,0.5,0.8,0.488,,0.651,4.7,0.106,1975,nbaroy
