Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Dave Cowens,24,BOS,67,444,875,0.507,82,41.8,20.5,16.2,4.1,,,0.452,,0.779,12.0,0.168,1973,nbamvp
2,Kareem Abdul-Jabbar,25,MIL,33,339,875,0.387,76,42.8,30.2,16.1,5.0,,,0.554,,0.713,21.9,0.322,1973,nbamvp
3,Tiny Archibald,24,KCO,44,319,875,0.365,80,46.0,34.0,2.8,11.4,,,0.488,,0.847,14.2,0.186,1973,nbamvp
4,Wilt Chamberlain,36,LAL,12,123,875,0.141,82,43.2,13.2,18.6,4.5,,,0.727,,0.51,18.2,0.247,1973,nbamvp
5,John Havlicek,32,BOS,5,88,875,0.101,80,42.1,23.8,7.1,6.6,,,0.45,,0.858,12.1,0.172,1973,nbamvp
6,Jerry West,34,LAL,1,70,875,0.08,69,35.7,22.8,4.2,8.8,,,0.479,,0.805,10.6,0.206,1973,nbamvp
7T,Walt Frazier,27,NYK,4,40,875,0.046,78,40.8,21.1,7.3,5.9,,,0.49,,0.817,13.0,0.196,1973,nbamvp
7T,Spencer Haywood,23,SEA,4,40,875,0.046,77,42.3,29.2,12.9,2.5,,,0.476,,0.839,10.2,0.15,1973,nbamvp
9,Nate Thurmond,31,GSW,2,33,875,0.038,79,43.3,17.1,17.1,3.5,,,0.446,,0.718,9.9,0.14,1973,nbamvp
10,Elvin Hayes,27,BAL,1,18,875,0.021,81,41.3,21.2,14.5,1.6,,,0.444,,0.671,7.6,0.109,1973,nbamvp
11T,Dave DeBusschere,32,NYK,0,9,875,0.01,77,36.7,16.3,10.2,3.4,,,0.435,,0.746,6.6,0.113,1973,nbamvp
11T,Bob Love,30,CHI,0,9,875,0.01,82,37.0,23.1,6.5,1.5,,,0.431,,0.824,6.3,0.1,1973,nbamvp
13,Elmore Smith,23,BUF,0,6,875,0.007,76,37.2,18.3,12.4,2.5,,,0.482,,0.558,3.9,0.067,1973,nbamvp
14T,Bob Lanier,24,DET,1,5,875,0.006,81,38.9,23.8,14.9,3.2,,,0.49,,0.773,10.6,0.161,1973,nbamvp
14T,Wes Unseld,26,BAL,1,5,875,0.006,79,39.1,12.5,15.9,4.4,,,0.493,,0.703,10.7,0.166,1973,nbamvp
16T,Sidney Wicks,23,POR,0,3,875,0.003,80,39.4,23.8,10.9,5.5,,,0.452,,0.723,5.6,0.085,1973,nbamvp
16T,Lenny Wilkens,35,CLE,0,3,875,0.003,75,39.6,20.5,4.6,8.4,,,0.449,,0.828,9.5,0.154,1973,nbamvp
18,Lou Hudson,28,ATL,0,2,875,0.002,75,40.4,27.1,6.2,3.4,,,0.477,,0.825,9.3,0.148,1973,nbamvp
19T,Lucius Allen,25,MIL,0,1,875,0.001,80,33.7,15.5,3.5,5.3,,,0.484,,0.715,7.6,0.135,1973,nbamvp
19T,Rick Barry,28,GSW,0,1,875,0.001,82,37.5,22.3,8.9,4.9,,,0.452,,0.902,10.2,0.159,1973,nbamvp
19T,Dave Bing,29,DET,0,1,875,0.001,82,41.0,22.4,3.6,7.8,,,0.448,,0.814,8.6,0.123,1973,nbamvp
19T,Pete Maravich,25,ATL,0,1,875,0.001,79,39.1,26.1,4.4,6.9,,,0.441,,0.8,7.6,0.118,1973,nbamvp
