Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Tyrese Maxey,23,PHI,51,319,495,0.644,70,37.5,25.9,3.7,6.2,1.0,0.5,0.45,0.373,0.868,8.1,0.147,2024,mip
2,Coby White,23,CHI,32,305,495,0.616,79,36.5,19.1,4.5,5.1,0.7,0.2,0.447,0.376,0.838,4.7,0.078,2024,mip
3,Alperen Sengun,21,HOU,6,92,495,0.186,63,32.5,21.1,9.3,5.0,1.2,0.7,0.537,0.297,0.693,6.9,0.163,2024,mip
4,Jalen Williams,22,OKC,5,79,495,0.16,71,31.3,19.1,4.0,4.5,1.1,0.6,0.54,0.427,0.814,7.3,0.157,2024,mip
5,Jalen Brunson,27,NYK,3,25,495,0.051,77,35.4,28.7,3.6,6.7,0.9,0.2,0.479,0.401,0.847,11.2,0.198,2024,mip
6,Deni Avdija,23,WAS,1,24,495,0.048,75,30.1,14.7,7.2,3.8,0.8,0.5,0.506,0.374,0.74,3.2,0.068,2024,mip
7,Cam Thomas,22,BRK,0,16,495,0.032,66,31.4,22.5,3.2,2.9,0.7,0.2,0.442,0.364,0.856,2.5,0.058,2024,mip
8,Jalen Suggs,22,ORL,0,11,495,0.022,75,27.0,12.6,3.1,2.7,1.4,0.6,0.471,0.397,0.756,4.7,0.112,2024,mip
9,Tyrese Haliburton,23,IND,1,5,495,0.01,69,32.2,20.1,3.9,10.9,1.2,0.7,0.477,0.364,0.855,9.0,0.195,2024,mip
10T,Grayson Allen,28,PHO,0,4,495,0.008,75,33.5,13.5,3.9,3.0,0.9,0.6,0.499,0.461,0.878,6.9,0.132,2024,mip
10T,Duncan Robinson,29,MIA,0,4,495,0.008,68,28.0,12.9,2.5,2.8,0.7,0.2,0.45,0.395,0.889,3.6,0.091,2024,mip
12T,Shai Gilgeous-Alexander,25,OKC,0,3,495,0.006,75,34.0,30.1,5.5,6.2,2.0,0.9,0.535,0.353,0.874,14.6,0.275,2024,mip
12T,Devin Vassell,23,SAS,0,3,495,0.006,68,33.1,19.5,3.8,4.1,1.1,0.3,0.472,0.372,0.801,3.6,0.077,2024,mip
14,Aaron Nesmith,24,IND,0,1,495,0.002,72,27.7,12.2,3.8,1.5,0.9,0.7,0.496,0.419,0.781,4.1,0.098,2024,mip
