Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,J.R. Smith,27,NYK,72,484,605,0.8,80,33.5,18.1,5.3,2.7,1.3,0.3,0.422,0.356,0.762,6.7,0.12,2013,6moy
2,Jamal Crawford,32,LAC,31,352,605,0.582,76,29.3,16.5,1.7,2.5,1.0,0.2,0.438,0.376,0.871,5.4,0.116,2013,6moy
3,Jarrett Jack,29,GSW,14,170,605,0.281,79,29.7,12.9,3.1,5.6,0.8,0.1,0.452,0.404,0.843,5.6,0.115,2013,6moy
4,Kevin Martin,29,OKC,2,31,605,0.051,77,27.7,14.0,2.3,1.4,0.9,0.1,0.45,0.426,0.89,7.0,0.157,2013,6moy
5,Ryan Anderson,24,NOH,1,11,605,0.018,81,30.9,16.2,6.4,1.2,0.5,0.4,0.423,0.382,0.844,6.5,0.125,2013,6moy
6,Andre Miller,36,DEN,0,7,605,0.012,82,26.2,9.6,2.9,5.9,0.9,0.1,0.479,0.266,0.84,5.4,0.12,2013,6moy
7,Jordan Crawford,24,TOT,1,5,605,0.008,70,24.4,11.6,3.0,3.2,0.6,0.1,0.415,0.337,0.811,1.9,0.052,2013,6moy
8T,Corey Brewer,26,DEN,0,4,605,0.007,82,24.4,12.1,2.9,1.5,1.4,0.3,0.425,0.296,0.69,3.9,0.093,2013,6moy
8T,Manu Ginóbili,35,SAS,0,4,605,0.007,60,23.2,11.8,3.4,4.6,1.3,0.2,0.425,0.353,0.796,4.5,0.155,2013,6moy
8T,Carl Landry,29,GSW,0,4,605,0.007,81,23.2,10.8,6.0,0.8,0.4,0.4,0.54,0.333,0.817,6.2,0.159,2013,6moy
8T,Nate Robinson,28,CHI,0,4,605,0.007,82,25.4,13.1,2.2,4.4,1.0,0.1,0.433,0.405,0.799,5.9,0.136,2013,6moy
12T,Shane Battier,34,MIA,0,2,605,0.003,72,24.8,6.6,2.3,1.0,0.6,0.8,0.42,0.43,0.842,4.4,0.119,2013,6moy
12T,Ramon Sessions,26,CHA,0,2,605,0.003,61,27.1,14.4,2.8,3.8,0.8,0.1,0.408,0.308,0.839,2.9,0.084,2013,6moy
14T,Luke Babbitt,23,POR,0,1,605,0.002,62,11.8,3.9,2.2,0.5,0.2,0.1,0.368,0.348,0.769,0.7,0.047,2013,6moy
14T,Vince Carter,36,DAL,0,1,605,0.002,81,25.8,13.4,4.1,2.4,0.9,0.5,0.435,0.406,0.816,6.0,0.137,2013,6moy
14T,Gordon Hayward,22,UTA,0,1,605,0.002,72,29.2,14.1,3.1,3.0,0.8,0.5,0.435,0.415,0.827,5.4,0.123,2013,6moy
14T,JJ Redick,28,TOT,0,1,605,0.002,78,30.5,14.1,2.2,3.8,0.5,0.1,0.434,0.366,0.9,4.5,0.091,2013,6moy
