# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1st,C,Ben Wallace,30.0,DET,51.0,60.0,0.85,74.0,36.1,9.7,12.2,1.7,1.4,2.4,0.453,0.111,0.428,8.5,0.153,6.7,2.6,94.0,2005,all-defensive
1st,G,Bruce Bowen,33.0,SAS,48.0,60.0,0.8,82.0,32.0,8.2,3.5,1.5,0.7,0.5,0.42,0.403,0.634,6.1,0.111,4.0,1.2,102.0,2005,all-defensive
1st,F,Kevin Garnett,28.0,MIN,48.0,60.0,0.8,82.0,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248,6.0,3.0,99.0,2005,all-defensive
1st,F,Tim Duncan,28.0,SAS,39.0,60.0,0.65,66.0,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,5.7,2.8,93.0,2005,all-defensive
1st,G,Larry Hughes,26.0,WAS,22.0,60.0,0.367,61.0,38.7,22.0,6.3,4.7,2.9,0.3,0.43,0.282,0.777,7.7,0.157,3.1,1.9,104.0,2005,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,2005,all-defensive
2nd,C,Marcus Camby,30.0,DEN,21.0,60.0,0.35,66.0,30.5,10.3,10.0,2.3,0.9,3.0,0.465,0.0,0.723,5.8,0.138,4.5,3.3,96.0,2005,all-defensive
2nd,F,Tayshaun Prince,24.0,DET,21.0,60.0,0.35,82.0,37.1,14.7,5.3,3.0,0.7,0.9,0.487,0.341,0.807,9.4,0.149,4.0,0.7,104.0,2005,all-defensive
2nd,G,Chauncey Billups,28.0,DET,17.0,60.0,0.283,80.0,35.8,16.5,3.4,5.8,1.0,0.1,0.442,0.426,0.898,12.1,0.202,3.5,0.6,105.0,2005,all-defensive
2nd,F,Andrei Kirilenko,23.0,UTA,17.0,60.0,0.283,41.0,32.9,15.6,6.2,3.2,1.6,3.3,0.493,0.299,0.784,5.5,0.197,2.0,3.7,102.0,2005,all-defensive
2nd,G,Jason Kidd,31.0,NJN,16.0,60.0,0.267,66.0,36.9,14.4,7.4,8.3,1.9,0.1,0.398,0.36,0.74,7.2,0.143,4.2,1.4,101.0,2005,all-defensive
2nd,G,Dwyane Wade,23.0,MIA,16.0,60.0,0.267,77.0,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177,4.3,0.7,103.0,2005,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,2005,all-defensive
