Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Tom Thibodeau,CHI,76,475,595,0.798,82,62,20,0.756,2011,coy
2,Doug Collins,PHI,18,210,595,0.353,82,41,41,0.5,2011,coy
3,Gregg Popovich,SAS,11,177,595,0.297,82,61,21,0.744,2011,coy
4,George Karl,DEN,12,139,595,0.234,82,50,32,0.61,2011,coy
5,Nate McMillan,POR,1,28,595,0.047,82,48,34,0.585,2011,coy
6,Lionel Hollins,MEM,0,19,595,0.032,82,46,36,0.561,2011,coy
7,Monty Williams,NOH,0,10,595,0.017,82,46,36,0.561,2011,coy
8,Erik Spoelstra,MIA,1,6,595,0.01,82,58,24,0.707,2011,coy
9,Phil Jackson,LAL,0,3,595,0.005,82,57,25,0.695,2011,coy
10,Rick Carlisle,DAL,0,2,595,0.003,82,57,25,0.695,2011,coy
11T,Doc Rivers,BOS,0,1,595,0.002,82,56,26,0.683,2011,coy
11T,Frank Vogel,IND,0,1,595,0.002,38,20,18,0.526,2011,coy
