# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1st,F,Dennis Rodman,27.0,DET,47.0,50.0,0.94,82.0,26.9,9.0,9.4,1.2,0.7,0.9,0.595,0.231,0.626,8.1,0.175,3.9,1.1,102.0,1989,all-defensive
1st,G,Michael Jordan,25.0,CHI,39.0,50.0,0.78,81.0,40.2,32.5,8.0,8.0,2.9,0.8,0.538,0.276,0.85,19.8,0.292,5.2,3.4,103.0,1989,all-defensive
1st,G,Joe Dumars,25.0,DET,36.0,50.0,0.72,69.0,34.9,17.2,2.5,5.7,0.9,0.1,0.505,0.483,0.85,7.0,0.14,2.2,-0.2,109.0,1989,all-defensive
1st,C,Mark Eaton,32.0,UTA,29.0,50.0,0.58,82.0,35.5,6.2,10.3,1.0,0.5,3.8,0.462,,0.66,6.6,0.108,6.5,3.1,98.0,1989,all-defensive
1st,F,Larry Nance,29.0,CLE,28.0,50.0,0.56,73.0,34.6,17.2,8.0,2.2,0.8,2.8,0.539,0.0,0.799,10.3,0.197,4.7,2.0,101.0,1989,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1989,all-defensive
2nd,C,Patrick Ewing,26.0,NYK,25.0,50.0,0.5,80.0,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0.0,0.746,10.9,0.181,4.7,2.3,103.0,1989,all-defensive
2nd,G,John Stockton,26.0,UTA,15.0,50.0,0.3,82.0,38.7,17.1,3.0,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236,5.8,3.2,101.0,1989,all-defensive
2nd,F,Kevin McHale,31.0,BOS,11.0,50.0,0.22,78.0,36.9,22.5,8.2,2.2,0.3,1.2,0.546,0.0,0.818,10.1,0.168,1.9,-1.1,111.0,1989,all-defensive
2nd,G,Alvin Robertson,26.0,SAS,11.0,50.0,0.22,65.0,35.2,17.3,5.9,6.0,3.0,0.6,0.483,0.2,0.723,4.4,0.093,3.1,1.8,105.0,1989,all-defensive
2nd,F,A.C. Green,25.0,LAL,10.0,50.0,0.2,82.0,30.6,13.3,9.0,1.3,1.1,0.7,0.529,0.235,0.786,9.4,0.179,3.5,-0.2,105.0,1989,all-defensive
