Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Jason Terry,31,DAL,111,576,605,0.952,74,33.7,19.6,2.4,3.4,1.3,0.3,0.463,0.366,0.88,7.3,0.14,2009,6moy
2,J.R. Smith,23,DEN,3,155,605,0.256,81,27.7,15.2,3.7,2.8,1.0,0.2,0.446,0.397,0.754,5.8,0.124,2009,6moy
3,Nate Robinson,24,NYK,2,113,605,0.187,74,29.9,17.2,3.9,4.1,1.3,0.1,0.437,0.325,0.841,5.9,0.128,2009,6moy
4,Lamar Odom,29,LAL,2,78,605,0.129,78,29.7,11.3,8.2,2.6,1.0,1.3,0.492,0.32,0.623,6.9,0.143,2009,6moy
5,Travis Outlaw,24,POR,1,75,605,0.124,81,27.7,12.8,4.1,1.0,0.6,0.7,0.453,0.377,0.723,5.3,0.113,2009,6moy
6,Manu Ginóbili,31,SAS,1,17,605,0.028,44,26.8,15.5,4.5,3.6,1.5,0.4,0.454,0.33,0.884,5.0,0.203,2009,6moy
7,Ronald Murray,29,ATL,1,16,605,0.026,80,24.7,12.2,2.1,2.0,1.1,0.2,0.447,0.36,0.76,3.1,0.076,2009,6moy
8,Chris Andersen,30,DEN,0,13,605,0.021,71,20.6,6.4,6.2,0.4,0.6,2.5,0.548,0.2,0.718,5.4,0.176,2009,6moy
9,Andrei Kirilenko,27,UTA,0,7,605,0.012,67,27.3,11.6,4.8,2.6,1.2,1.1,0.449,0.274,0.785,4.6,0.122,2009,6moy
10T,Leandro Barbosa,26,PHO,0,6,605,0.01,70,24.4,14.2,2.6,2.3,1.2,0.1,0.482,0.375,0.881,5.0,0.141,2009,6moy
10T,Corey Maggette,29,GSW,0,6,605,0.01,51,31.1,18.6,5.5,1.8,0.9,0.2,0.461,0.253,0.824,3.3,0.1,2009,6moy
10T,Lou Williams,22,PHI,0,6,605,0.01,81,23.7,12.8,2.0,3.0,1.0,0.2,0.398,0.286,0.79,3.4,0.085,2009,6moy
13,Eddie House,30,BOS,0,5,605,0.008,81,18.3,8.5,1.9,1.1,0.8,0.1,0.445,0.444,0.792,4.9,0.158,2009,6moy
14,Kirk Hinrich,28,CHI,0,4,605,0.007,51,26.3,9.9,2.4,3.9,1.3,0.4,0.437,0.408,0.791,2.6,0.092,2009,6moy
15,Jason Kapono,27,TOR,0,3,605,0.005,80,22.9,8.2,2.0,1.3,0.3,0.0,0.432,0.428,0.81,0.8,0.021,2009,6moy
16,James Posey,32,NOH,0,2,605,0.003,75,28.5,8.9,4.8,1.1,0.8,0.3,0.412,0.369,0.822,4.2,0.095,2009,6moy
17T,Trevor Ariza,23,LAL,0,1,605,0.002,82,24.4,8.9,4.3,1.8,1.7,0.3,0.46,0.319,0.71,6.1,0.146,2009,6moy
17T,Michael Beasley,20,MIA,0,1,605,0.002,81,24.8,13.9,5.4,1.0,0.5,0.5,0.472,0.407,0.772,3.4,0.081,2009,6moy
17T,Paul Millsap,23,UTA,0,1,605,0.002,76,30.1,13.5,8.6,1.8,1.0,1.0,0.534,0.0,0.699,7.7,0.162,2009,6moy
17T,Hakim Warrick,26,MEM,0,1,605,0.002,82,24.7,11.6,5.0,0.8,0.6,0.5,0.491,0.217,0.711,4.7,0.111,2009,6moy
