Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Bill Russell,23,BOS,33,228,400,0.57,69,38.3,16.6,22.7,2.9,,,0.442,,0.519,11.3,0.206,1958,mvp
2,Dolph Schayes,29,SYR,25,198,400,0.495,72,40.5,24.9,14.2,3.1,,,0.398,,0.904,13.7,0.226,1958,mvp
3,George Yardley,29,DET,12,120,400,0.3,72,39.5,27.8,10.7,1.3,,,0.414,,0.811,12.3,0.208,1958,mvp
4,Bob Pettit,25,STL,4,97,400,0.243,70,36.1,24.6,17.4,2.2,,,0.41,,0.749,11.0,0.209,1958,mvp
5,Maurice Stokes,24,CIN,2,28,400,0.07,63,39.0,16.9,18.1,6.4,,,0.351,,0.715,4.5,0.088,1958,mvp
6,Bob Cousy,29,BOS,2,18,400,0.045,65,34.2,18.0,5.0,7.1,,,0.353,,0.85,5.4,0.116,1958,mvp
7,Bill Sharman,31,BOS,2,11,400,0.028,63,35.1,22.3,4.7,2.7,,,0.424,,0.893,8.7,0.189,1958,mvp
8,Paul Arizin,29,PHW,0,8,400,0.02,68,35.0,20.7,7.4,2.0,,,0.393,,0.809,7.7,0.156,1958,mvp
9,Walter Dukes,27,DET,0,4,400,0.01,72,30.3,11.2,13.3,0.7,,,0.349,,0.675,2.4,0.052,1958,mvp
10,Vern Mikkelsen,29,MNL,0,3,400,0.008,72,33.2,17.3,11.2,2.3,,,0.41,,0.786,6.5,0.13,1958,mvp
11,Cliff Hagan,26,STL,0,2,400,0.005,70,31.3,19.9,10.1,2.5,,,0.443,,0.768,10.0,0.22,1958,mvp
12T,Neil Johnston,28,PHW,0,1,400,0.003,71,33.9,19.5,11.1,2.3,,,0.429,,0.819,11.3,0.224,1958,mvp
12T,Clyde Lovellette,28,CIN,0,1,400,0.003,71,36.5,23.4,12.1,1.9,,,0.441,,0.743,10.1,0.187,1958,mvp
12T,Kenny Sears,24,NYK,0,1,400,0.003,72,37.3,18.6,10.9,1.8,,,0.439,,0.822,10.0,0.179,1958,mvp
