Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Monty Williams,PHO,81,458,500,0.916,82,64,18,0.78,2022,coy
2,Taylor Jenkins,MEM,17,270,500,0.54,82,56,26,0.683,2022,coy
3,Erik Spoelstra,MIA,1,72,500,0.144,82,53,29,0.646,2022,coy
4,Ime Udoka,BOS,1,46,500,0.092,82,51,31,0.622,2022,coy
5,J.B. Bickerstaff,CLE,0,28,500,0.056,82,44,38,0.537,2022,coy
6T,Jason Kidd,DAL,0,9,500,0.018,82,52,30,0.634,2022,coy
6T,Tyronn Lue,LAC,0,9,500,0.018,82,42,40,0.512,2022,coy
8T,Chris Finch,MIN,0,4,500,0.008,82,46,36,0.561,2022,coy
8T,Nick Nurse,TOR,0,4,500,0.008,82,48,34,0.585,2022,coy
