Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Gregg Popovich,SAS,59,380,620,0.613,82,62,20,0.756,2014,coy
2,Jeff Hornacek,PHO,37,339,620,0.547,82,48,34,0.585,2014,coy
3,Tom Thibodeau,CHI,12,159,620,0.256,82,48,34,0.585,2014,coy
4,Steve Clifford,CHA,8,127,620,0.205,82,43,39,0.524,2014,coy
5,Dwane Casey,TOR,5,70,620,0.113,82,48,34,0.585,2014,coy
6,Terry Stotts,POR,2,25,620,0.04,82,54,28,0.659,2014,coy
7,Doc Rivers,LAC,1,13,620,0.021,82,57,25,0.695,2014,coy
8T,Scott Brooks,OKC,0,1,620,0.002,82,59,23,0.72,2014,coy
8T,Mark Jackson,GSW,0,1,620,0.002,82,51,31,0.622,2014,coy
8T,Jason Kidd,BRK,0,1,620,0.002,82,44,38,0.537,2014,coy
