Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Lou Williams,32,LAC,96,489,500,0.978,75,26.6,20.0,3.0,5.4,0.8,0.1,0.425,0.361,0.876,5.1,0.123,2019,6moy
2,Domantas Sabonis,22,IND,1,190,500,0.38,74,24.8,14.1,9.3,2.9,0.6,0.4,0.59,0.529,0.715,7.6,0.197,2019,6moy
3,Montrezl Harrell,25,LAC,2,142,500,0.284,82,26.3,16.6,6.5,2.0,0.9,1.3,0.615,0.176,0.643,8.7,0.193,2019,6moy
4,Spencer Dinwiddie,25,BRK,0,34,500,0.068,68,28.1,16.8,2.4,4.6,0.6,0.3,0.442,0.335,0.806,4.8,0.121,2019,6moy
5,Terrence Ross,27,ORL,0,12,500,0.024,81,26.5,15.1,3.5,1.7,0.9,0.4,0.428,0.383,0.875,4.3,0.095,2019,6moy
6,Derrick Rose,30,MIN,0,11,500,0.022,51,27.3,18.0,2.7,4.3,0.6,0.2,0.482,0.37,0.856,3.0,0.102,2019,6moy
7,Dwyane Wade,37,MIA,0,8,500,0.016,72,26.2,15.0,4.0,4.2,0.8,0.5,0.433,0.33,0.708,2.4,0.061,2019,6moy
8,Dennis Schröder,25,OKC,1,5,500,0.01,79,29.3,15.5,3.6,4.1,0.8,0.2,0.414,0.341,0.819,2.9,0.06,2019,6moy
9,Monte Morris,23,DEN,0,3,500,0.006,82,24.0,10.4,2.4,3.6,0.9,0.0,0.493,0.414,0.802,6.2,0.151,2019,6moy
10,Andre Iguodala,35,GSW,0,2,500,0.004,68,23.2,5.7,3.7,3.2,0.9,0.8,0.5,0.333,0.582,4.2,0.129,2019,6moy
11T,Malik Beasley,22,DEN,0,1,500,0.002,81,23.2,11.3,2.5,1.2,0.7,0.1,0.474,0.402,0.848,4.5,0.115,2019,6moy
11T,Dāvis Bertāns,26,SAS,0,1,500,0.002,76,21.5,8.0,3.5,1.3,0.5,0.4,0.45,0.429,0.883,4.0,0.118,2019,6moy
11T,Jae Crowder,28,UTA,0,1,500,0.002,80,27.1,11.9,4.8,1.7,0.8,0.4,0.399,0.331,0.721,4.4,0.097,2019,6moy
11T,Ed Davis,29,BRK,0,1,500,0.002,81,17.9,5.8,8.6,0.8,0.4,0.4,0.616,0.0,0.617,5.7,0.191,2019,6moy
